exercise_slug,language_code,name
Barbell_Shrug,en,Barbell Shrug
Barbell_Shrug,vi,Nhún vai tạ đòn
Barbell_Shrug_Behind_The_Back,en,Barbell Shrug Behind The Back
Barbell_Shrug_Behind_The_Back,vi,Nhún vai tạ đòn sau lưng
Barbell_Side_Bend,en,Barbell Side Bend
Barbell_Side_Bend,vi,Nghiêng lườn tạ đòn
Barbell_Side_Split_Squat,en,Barbell Side Split Squat
Barbell_Side_Split_Squat,vi,Squat một chân ngang với tạ đòn
Barbell_Squat,en,Barbell Squat
Barbell_Squat,vi,Gánh tạ đòn
Barbell_Squat_To_A_Bench,en,Barbell Squat To A Bench
Barbell_Squat_To_A_Bench,vi,Squat Thanh Tạ Chạm Ghế
Barbell_Step_Ups,en,Barbell Step Ups
Barbell_Step_Ups,vi,Bước lên ghế tạ đòn
Barbell_Walking_Lunge,en,Barbell Walking Lunge
Barbell_Walking_Lunge,vi,Gập gối tạ đòn đi bộ
Battling_Ropes,en,Battling Ropes
Battling_Ropes,vi,Tập dây thừng
Bear_Crawl_Sled_Drags,en,Bear Crawl Sled Drags
Bear_Crawl_Sled_Drags,vi,Kéo tạ bằng bò gấu
Behind_Head_Chest_Stretch,en,Behind Head Chest Stretch
Behind_Head_Chest_Stretch,vi,Kéo giãn ngực sau đầu
Bench_Dips,en,Bench Dips
Bench_Dips,vi,Nhúng người ghế sau
Bench_Jump,en,Bench Jump
Bench_Jump,vi,Nhảy bục
Bench_Press_-_Powerlifting,en,Bench Press - Powerlifting
Bench_Press_-_Powerlifting,vi,Đẩy ngực
Bench_Press_-_With_Bands,en,Bench Press - With Bands
Bench_Press_-_With_Bands,vi,Đẩy ngực với dây kháng lực
Bench_Press_with_Chains,en,Bench Press with Chains
Bench_Press_with_Chains,vi,Đẩy ngực với dây xích
Bench_Sprint,en,Bench Sprint
Bench_Sprint,vi,Chạy nước rút trên ghế
Bent-Arm_Barbell_Pullover,en,Bent-Arm Barbell Pullover
Bent-Arm_Barbell_Pullover,vi,Kéo tạ qua đầu tay gập
Bent-Arm_Dumbbell_Pullover,en,Bent-Arm Dumbbell Pullover
Bent-Arm_Dumbbell_Pullover,vi,Kéo tạ đôi qua đầu
Bent-Knee_Hip_Raise,en,Bent-Knee Hip Raise
Bent-Knee_Hip_Raise,vi,Nâng hông gối gập
Bent_Over_Barbell_Row,en,Bent Over Barbell Row
Bent_Over_Barbell_Row,vi,Kéo tạ đòn cúi người
Bent_Over_Dumbbell_Rear_Delt_Raise_With_Head_On_Bench,en,Bent Over Dumbbell Rear Delt Raise With Head On Bench
Bent_Over_Dumbbell_Rear_Delt_Raise_With_Head_On_Bench,vi,Bay vai sau cúi người kê đầu
Bent_Over_Low-Pulley_Side_Lateral,en,Bent Over Low-Pulley Side Lateral
Bent_Over_Low-Pulley_Side_Lateral,vi,Bay vai cúi người cáp thấp
Bent_Over_One-Arm_Long_Bar_Row,en,Bent Over One-Arm Long Bar Row
Bent_Over_One-Arm_Long_Bar_Row,vi,Kéo tạ một tay cúi người (thanh dài)
Bent_Over_Two-Arm_Long_Bar_Row,en,Bent Over Two-Arm Long Bar Row
Bent_Over_Two-Arm_Long_Bar_Row,vi,Kéo tạ đòn dài cúi người
Bent_Over_Two-Dumbbell_Row,en,Bent Over Two-Dumbbell Row
Bent_Over_Two-Dumbbell_Row,vi,Kéo tạ đơn cúi người
Bent_Over_Two-Dumbbell_Row_With_Palms_In,en,Bent Over Two-Dumbbell Row With Palms In
Bent_Over_Two-Dumbbell_Row_With_Palms_In,vi,Kéo tạ đơn cúi người tay nắm ngửa
Bent_Press,en,Bent Press
Bent_Press,vi,Đẩy Cong
Bicycling,en,Bicycling
Bicycling,vi,Đạp xe
Bicycling_Stationary,en,"Bicycling, Stationary"
Bicycling_Stationary,vi,Đạp xe cố định
Board_Press,en,Board Press
Board_Press,vi,Đẩy ngực trên ván
Body-Up,en,Body-Up
Body-Up,vi,Tập nâng thân
Body_Tricep_Press,en,Body Tricep Press
Body_Tricep_Press,vi,Ép tay sau đứng
Bodyweight_Flyes,en,Bodyweight Flyes
Bodyweight_Flyes,vi,Bay ngực bodyweight
Bodyweight_Mid_Row,en,Bodyweight Mid Row
Bodyweight_Mid_Row,vi,Kéo lưng ngang thân người
Bodyweight_Squat,en,Bodyweight Squat
Bodyweight_Squat,vi,Squat
Bodyweight_Walking_Lunge,en,Bodyweight Walking Lunge
Bodyweight_Walking_Lunge,vi,Đi bộ chùng chân không tạ
Bosu_Ball_Cable_Crunch_With_Side_Bends,en,Bosu Ball Cable Crunch With Side Bends
Bosu_Ball_Cable_Crunch_With_Side_Bends,vi,Gập bụng cáp trên Bosu kết hợp gập lườn
Bottoms-Up_Clean_From_The_Hang_Position,en,Bottoms-Up Clean From The Hang Position
Bottoms-Up_Clean_From_The_Hang_Position,vi,Clean Ngửa Chuông Treo
Bottoms_Up,en,Bottoms Up
Bottoms_Up,vi,Ép ngược
Box_Jump_Multiple_Response,en,Box Jump (Multiple Response)
Box_Jump_Multiple_Response,vi,Nhảy hộp
Box_Skip,en,Box Skip
Box_Skip,vi,Nhảy hộp
Box_Squat,en,Box Squat
Box_Squat,vi,Squat với hộp
Box_Squat_with_Bands,en,Box Squat with Bands
Box_Squat_with_Bands,vi,Squat Hộp có Dây Kháng Lực
Box_Squat_with_Chains,en,Box Squat with Chains
Box_Squat_with_Chains,vi,Squat hộp với xích
Brachialis-SMR,en,Brachialis-SMR
Brachialis-SMR,vi,Thả lỏng cơ cánh tay
Bradford_Rocky_Presses,en,Bradford/Rocky Presses
Bradford_Rocky_Presses,vi,Đẩy vai
Butt-Ups,en,Butt-Ups
Butt-Ups,vi,Nâng mông
Butt_Lift_Bridge,en,Butt Lift (Bridge)
Butt_Lift_Bridge,vi,Nâng hông (Bridge)
Butterfly,en,Butterfly
Butterfly,vi,Ép ngực (Butterfly)
Cable_Chest_Press,en,Cable Chest Press
Cable_Chest_Press,vi,Đẩy ngực cáp
Cable_Crossover,en,Cable Crossover
Cable_Crossover,vi,Ép ngực cáp
Cable_Crunch,en,Cable Crunch
Cable_Crunch,vi,Gập bụng cáp
Cable_Deadlifts,en,Cable Deadlifts
Cable_Deadlifts,vi,Kéo cáp đứng
Cable_Hammer_Curls_-_Rope_Attachment,en,Cable Hammer Curls - Rope Attachment
Cable_Hammer_Curls_-_Rope_Attachment,vi,Cuốn tạ cáp búa dây thừng
Cable_Hip_Adduction,en,Cable Hip Adduction
Cable_Hip_Adduction,vi,Khép hông cáp
Cable_Incline_Pushdown,en,Cable Incline Pushdown
Cable_Incline_Pushdown,vi,Đẩy cáp dốc xuống
Cable_Incline_Triceps_Extension,en,Cable Incline Triceps Extension
Cable_Incline_Triceps_Extension,vi,Đẩy Tay Sau Cáp Trên Ghế Dốc
Cable_Internal_Rotation,en,Cable Internal Rotation
Cable_Internal_Rotation,vi,Xoay vai trong cáp
Cable_Iron_Cross,en,Cable Iron Cross
Cable_Iron_Cross,vi,Ép ngực cáp
Cable_Judo_Flip,en,Cable Judo Flip
Cable_Judo_Flip,vi,Lật tạ cáp
Cable_Lying_Triceps_Extension,en,Cable Lying Triceps Extension
Cable_Lying_Triceps_Extension,vi,Đạp Dây Thẳng Nằm
Cable_One_Arm_Tricep_Extension,en,Cable One Arm Tricep Extension
Cable_One_Arm_Tricep_Extension,vi,Đẩy cáp duỗi tay sau 1 bên
Cable_Preacher_Curl,en,Cable Preacher Curl
Cable_Preacher_Curl,vi,Cuốn tay trước cáp trên ghế dốc
Cable_Rear_Delt_Fly,en,Cable Rear Delt Fly
Cable_Rear_Delt_Fly,vi,Bay vai sau cáp
Cable_Reverse_Crunch,en,Cable Reverse Crunch
Cable_Reverse_Crunch,vi,Gập bụng ngược cáp
Cable_Rope_Overhead_Triceps_Extension,en,Cable Rope Overhead Triceps Extension
Cable_Rope_Overhead_Triceps_Extension,vi,Đẩy tạ cáp duỗi tay qua đầu (Tập tay sau)
Cable_Rope_Rear-Delt_Rows,en,Cable Rope Rear-Delt Rows
Cable_Rope_Rear-Delt_Rows,vi,Kéo cáp cơ vai sau
Cable_Russian_Twists,en,Cable Russian Twists
Cable_Russian_Twists,vi,Xoay người cáp
Cable_Seated_Crunch,en,Cable Seated Crunch
Cable_Seated_Crunch,vi,Gập bụng cáp ngồi
Cable_Seated_Lateral_Raise,en,Cable Seated Lateral Raise
Cable_Seated_Lateral_Raise,vi,Nâng vai bên cáp ngồi
Cable_Shoulder_Press,en,Cable Shoulder Press
Cable_Shoulder_Press,vi,Đẩy vai cáp
Cable_Shrugs,en,Cable Shrugs
Cable_Shrugs,vi,Nhún vai cáp
Cable_Wrist_Curl,en,Cable Wrist Curl
Cable_Wrist_Curl,vi,Cuộn cổ tay cáp
Calf-Machine_Shoulder_Shrug,en,Calf-Machine Shoulder Shrug
Calf-Machine_Shoulder_Shrug,vi,Nhún vai máy tập bắp chân
Calf_Press,en,Calf Press
Calf_Press,vi,Đẩy bắp chuối
Calf_Press_On_The_Leg_Press_Machine,en,Calf Press On The Leg Press Machine
Calf_Press_On_The_Leg_Press_Machine,vi,Đẩy bắp chân máy Leg Press
Calf_Raise_On_A_Dumbbell,en,Calf Raise On A Dumbbell
Calf_Raise_On_A_Dumbbell,vi,Nhón gót với tạ đơn
Calf_Raises_-_With_Bands,en,Calf Raises - With Bands
Calf_Raises_-_With_Bands,vi,Nhón gót với dây kháng lực
Calf_Stretch_Elbows_Against_Wall,en,Calf Stretch Elbows Against Wall
Calf_Stretch_Elbows_Against_Wall,vi,Kéo giãn bắp chân áp tường
Calf_Stretch_Hands_Against_Wall,en,Calf Stretch Hands Against Wall
Calf_Stretch_Hands_Against_Wall,vi,Kéo giãn bắp chân dựa tường
Calves-SMR,en,Calves-SMR
Calves-SMR,vi,Giải phóng cơ bắp chân
Car_Deadlift,en,Car Deadlift
Car_Deadlift,vi,Kéo ô tô
Car_Drivers,en,Car Drivers
Car_Drivers,vi,Xoay đĩa tạ
Carioca_Quick_Step,en,Carioca Quick Step
Carioca_Quick_Step,vi,Bước chéo nhanh
Cat_Stretch,en,Cat Stretch
Cat_Stretch,vi,Tư thế Mèo duỗi lưng
Catch_and_Overhead_Throw,en,Catch and Overhead Throw
Catch_and_Overhead_Throw,vi,Ném bóng qua đầu và bắt
Chain_Handle_Extension,en,Chain Handle Extension
Chain_Handle_Extension,vi,Đá tay sau cáp
Chain_Press,en,Chain Press
Chain_Press,vi,Đẩy tạ xích
Chair_Leg_Extended_Stretch,en,Chair Leg Extended Stretch
Chair_Leg_Extended_Stretch,vi,Duỗi chân trên ghế
Chair_Lower_Back_Stretch,en,Chair Lower Back Stretch
Chair_Lower_Back_Stretch,vi,Căng giãn lưng dưới ngồi ghế
Chair_Squat,en,Chair Squat
Chair_Squat,vi,Squat ghế
Chair_Upper_Body_Stretch,en,Chair Upper Body Stretch
Chair_Upper_Body_Stretch,vi,Căng cơ thân trên trên ghế
Chest_And_Front_Of_Shoulder_Stretch,en,Chest And Front Of Shoulder Stretch
Chest_And_Front_Of_Shoulder_Stretch,vi,Căng ngực và vai trước
Chest_Push_from_3_point_stance,en,Chest Push from 3 point stance
Chest_Push_from_3_point_stance,vi,Đẩy Ngực Tư Thế 3 Điểm
Chest_Push_multiple_response,en,Chest Push (multiple response)
Chest_Push_multiple_response,vi,Đẩy ngực
Chest_Push_single_response,en,Chest Push (single response)
Chest_Push_single_response,vi,Đẩy ngực
Chest_Push_with_Run_Release,en,Chest Push with Run Release
Chest_Push_with_Run_Release,vi,Đẩy Ngực Chạy Lên
Chest_Stretch_on_Stability_Ball,en,Chest Stretch on Stability Ball
Chest_Stretch_on_Stability_Ball,vi,Kéo giãn ngực trên bóng
Childs_Pose,en,Child's Pose
Childs_Pose,vi,Tư thế Em Bé
Chin-Up,en,Chin-Up
Chin-Up,vi,Kéo xà tay hẹp
Chin_To_Chest_Stretch,en,Chin To Chest Stretch
Chin_To_Chest_Stretch,vi,Kéo giãn cổ cằm chạm ngực
Circus_Bell,en,Circus Bell
Circus_Bell,vi,Tạ Chuông Rạp Xiếc
Clean,en,Clean
Clean,vi,Cử giật
Clean_Deadlift,en,Clean Deadlift
Clean_Deadlift,vi,Tập cử tạ
Clean_Pull,en,Clean Pull
Clean_Pull,vi,Kéo Thanh Clean
Clean_Shrug,en,Clean Shrug
Clean_Shrug,vi,Nhún vai
Clean_and_Jerk,en,Clean and Jerk
Clean_and_Jerk,vi,cử đẩy
Clean_and_Press,en,Clean and Press
Clean_and_Press,vi,Đẩy tạ giật
Clean_from_Blocks,en,Clean from Blocks
Clean_from_Blocks,vi,Clean Khởi Đi Từ Cục
Clock_Push-Up,en,Clock Push-Up
Clock_Push-Up,vi,Hít đất đồng hồ
Close-Grip_Barbell_Bench_Press,en,Close-Grip Barbell Bench Press
Close-Grip_Barbell_Bench_Press,vi,Đẩy Ngực Thanh Tạ Tay Hẹp
Close-Grip_Dumbbell_Press,en,Close-Grip Dumbbell Press
Close-Grip_Dumbbell_Press,vi,Đẩy ngực ngang tay hẹp bằng tạ đơn
Close-Grip_EZ-Bar_Curl_with_Band,en,Close-Grip EZ-Bar Curl with Band
Close-Grip_EZ-Bar_Curl_with_Band,vi,Cuốn tay trước EZ-Bar Khép tay với dây kháng lực
Close-Grip_EZ-Bar_Press,en,Close-Grip EZ-Bar Press
Close-Grip_EZ-Bar_Press,vi,Đẩy ngực tay hẹp thanh EZ
Close-Grip_EZ_Bar_Curl,en,Close-Grip EZ Bar Curl
Close-Grip_EZ_Bar_Curl,vi,Cuốn tay trước thanh EZ hẹp
Close-Grip_Front_Lat_Pulldown,en,Close-Grip Front Lat Pulldown
Close-Grip_Front_Lat_Pulldown,vi,Kéo xô tay hẹp
Close-Grip_Push-Up_off_of_a_Dumbbell,en,Close-Grip Push-Up off of a Dumbbell
Close-Grip_Push-Up_off_of_a_Dumbbell,vi,Hít đất tay hẹp với tạ đơn
Close-Grip_Standing_Barbell_Curl,en,Close-Grip Standing Barbell Curl
Close-Grip_Standing_Barbell_Curl,vi,Cuốn tay đòn đứng hẹp tay
Cocoons,en,Cocoons
Cocoons,vi,Cái kén
Conans_Wheel,en,Conan's Wheel
Conans_Wheel,vi,Vòng quay Conan
Concentration_Curls,en,Concentration Curls
Concentration_Curls,vi,Cuốn tạ tập trung
Cross-Body_Crunch,en,Cross-Body Crunch
Cross-Body_Crunch,vi,Gập bụng chéo
Cross_Body_Hammer_Curl,en,Cross Body Hammer Curl
Cross_Body_Hammer_Curl,vi,Cuốn tạ búa chéo thân
Cross_Over_-_With_Bands,en,Cross Over - With Bands
Cross_Over_-_With_Bands,vi,Đẩy ngực chéo với dây kháng lực
Crossover_Reverse_Lunge,en,Crossover Reverse Lunge
Crossover_Reverse_Lunge,vi,Lunge Ngược Chéo
Crucifix,en,Crucifix
Crucifix,vi,Bay ngực
Crunch_-_Hands_Overhead,en,Crunch - Hands Overhead
Crunch_-_Hands_Overhead,vi,Gập bụng tay qua đầu
Crunch_-_Legs_On_Exercise_Ball,en,Crunch - Legs On Exercise Ball
Crunch_-_Legs_On_Exercise_Ball,vi,Gập bụng kê chân bóng
Crunches,en,Crunches
Crunches,vi,Gập bụng
Cuban_Press,en,Cuban Press
Cuban_Press,vi,Nhấn tạ kiểu Cuba
Dancers_Stretch,en,Dancer's Stretch
Dancers_Stretch,vi,Căng cơ vũ công
Dead_Bug,en,Dead Bug
Dead_Bug,vi,Tư thế con bọ chết
Deadlift_with_Bands,en,Deadlift with Bands
Deadlift_with_Bands,vi,Kéo tạ chân với dây kháng lực
Deadlift_with_Chains,en,Deadlift with Chains
Deadlift_with_Chains,vi,Kéo tạ chân với xích
Decline_Barbell_Bench_Press,en,Decline Barbell Bench Press
Decline_Barbell_Bench_Press,vi,Đẩy Ngực Dưới Tạ Đòn
Decline_Close-Grip_Bench_To_Skull_Crusher,en,Decline Close-Grip Bench To Skull Crusher
Decline_Close-Grip_Bench_To_Skull_Crusher,vi,Đẩy ngực dốc xuống hẹp kết hợp duỗi tay sau
Decline_Crunch,en,Decline Crunch
Decline_Crunch,vi,Gập bụng ghế dốc xuống
Decline_Dumbbell_Bench_Press,en,Decline Dumbbell Bench Press
Decline_Dumbbell_Bench_Press,vi,Đẩy ngực dưới tạ đơn
Decline_Dumbbell_Flyes,en,Decline Dumbbell Flyes
Decline_Dumbbell_Flyes,vi,Bay tạ dốc xuống
Decline_Dumbbell_Triceps_Extension,en,Decline Dumbbell Triceps Extension
Decline_Dumbbell_Triceps_Extension,vi,Duỗi tay sau tạ đơn ghế dốc xuống
Decline_EZ_Bar_Triceps_Extension,en,Decline EZ Bar Triceps Extension
Decline_EZ_Bar_Triceps_Extension,vi,Đẩy tạ tay sau dốc xuống
Decline_Oblique_Crunch,en,Decline Oblique Crunch
Decline_Oblique_Crunch,vi,Gập bụng nghiêng trên ghế dốc xuống
Decline_Push-Up,en,Decline Push-Up
Decline_Push-Up,vi,Hít đất dốc xuống
Decline_Reverse_Crunch,en,Decline Reverse Crunch
Decline_Reverse_Crunch,vi,Gập bụng ngược trên ghế dốc
Decline_Smith_Press,en,Decline Smith Press
Decline_Smith_Press,vi,Đẩy ngực dưới máy Smith
Deficit_Deadlift,en,Deficit Deadlift
Deficit_Deadlift,vi,Deadlift Chênh Lệch
Depth_Jump_Leap,en,Depth Jump Leap
Depth_Jump_Leap,vi,Nhảy sâu bật cao
Dip_Machine,en,Dip Machine
Dip_Machine,vi,Tập Dip bằng máy
Dips_-_Chest_Version,en,Dips - Chest Version
Dips_-_Chest_Version,vi,Nhún người ngực
Dips_-_Triceps_Version,en,Dips - Triceps Version
Dips_-_Triceps_Version,vi,Nhúng tay sau (Dips)
Donkey_Calf_Raises,en,Donkey Calf Raises
Donkey_Calf_Raises,vi,Nhón gót lưng gập
Double_Kettlebell_Alternating_Hang_Clean,en,Double Kettlebell Alternating Hang Clean
Double_Kettlebell_Alternating_Hang_Clean,vi,Nhảy Cử Tạ Chuông Đôi Luân Phiên (Treo)
Double_Kettlebell_Jerk,en,Double Kettlebell Jerk
Double_Kettlebell_Jerk,vi,Đẩy tạ chuông đôi
Double_Kettlebell_Push_Press,en,Double Kettlebell Push Press
Double_Kettlebell_Push_Press,vi,Đẩy tạ ấm đôi
Double_Kettlebell_Snatch,en,Double Kettlebell Snatch
Double_Kettlebell_Snatch,vi,Giật Tạ Chuông Đôi
Double_Kettlebell_Windmill,en,Double Kettlebell Windmill
Double_Kettlebell_Windmill,vi,Gập người cối xay gió tạ chuông đôi
Double_Leg_Butt_Kick,en,Double Leg Butt Kick
Double_Leg_Butt_Kick,vi,Đá gót chạm mông hai chân
Downward_Facing_Balance,en,Downward Facing Balance
Downward_Facing_Balance,vi,Thăng bằng úp mặt
Drag_Curl,en,Drag Curl
Drag_Curl,vi,Cuốn tạ sát thân
Drop_Push,en,Drop Push
Drop_Push,vi,Hạ Đẩy
Dumbbell_Alternate_Bicep_Curl,en,Dumbbell Alternate Bicep Curl
Dumbbell_Alternate_Bicep_Curl,vi,Cuốn tay trước luân phiên tạ đơn
Dumbbell_Bench_Press,en,Dumbbell Bench Press
Dumbbell_Bench_Press,vi,Đẩy ngực tạ đơn
Dumbbell_Bench_Press_with_Neutral_Grip,en,Dumbbell Bench Press with Neutral Grip
Dumbbell_Bench_Press_with_Neutral_Grip,vi,Đẩy ngực tạ đơn trung tính
Dumbbell_Bicep_Curl,en,Dumbbell Bicep Curl
Dumbbell_Bicep_Curl,vi,Cuốn tạ tay
Dumbbell_Clean,en,Dumbbell Clean
Dumbbell_Clean,vi,Dumbbell Clean
Dumbbell_Floor_Press,en,Dumbbell Floor Press
Dumbbell_Floor_Press,vi,Đẩy ngực nằm sàn tạ đơn
Dumbbell_Flyes,en,Dumbbell Flyes
Dumbbell_Flyes,vi,Bay ngực tạ đơn
Dumbbell_Incline_Row,en,Dumbbell Incline Row
Dumbbell_Incline_Row,vi,Kéo tạ đơn dốc
Dumbbell_Incline_Shoulder_Raise,en,Dumbbell Incline Shoulder Raise
Dumbbell_Incline_Shoulder_Raise,vi,Nâng vai dốc với tạ đơn
Dumbbell_Lunges,en,Dumbbell Lunges
Dumbbell_Lunges,vi,Bước gập gối tạ tay
Dumbbell_Lying_One-Arm_Rear_Lateral_Raise,en,Dumbbell Lying One-Arm Rear Lateral Raise
Dumbbell_Lying_One-Arm_Rear_Lateral_Raise,vi,Nằm một tay bay vai sau
Dumbbell_Lying_Pronation,en,Dumbbell Lying Pronation
Dumbbell_Lying_Pronation,vi,Nằm sấp xoay cẳng tay với tạ đơn
Dumbbell_Lying_Rear_Lateral_Raise,en,Dumbbell Lying Rear Lateral Raise
Dumbbell_Lying_Rear_Lateral_Raise,vi,Bay vai sau nằm tạ đơn
Dumbbell_Lying_Supination,en,Dumbbell Lying Supination
Dumbbell_Lying_Supination,vi,Nằm ngửa cuốn tạ ngửa tay
