recipe_code,name_en,step_order,instruction_en,instruction_vi
chocolate-raspberry-brownies,Chocolate Raspberry Brownies,1,"Heat oven to 180C/160C fan/gas 4. Line a 20 x 30cm baking tray tin with baking parchment. Put the chocolate, butter and sugar in a pan and gently melt, stirring occasionally with a wooden spoon. Remove from the heat.","Bật lò nướng ở 180C/160C quạt/gas 4. Lót giấy nướng vào khuôn nướng hình chữ nhật 20 x 30cm. Cho sô cô la, bơ và đường vào nồi, đun chảy nhẹ nhàng, thỉnh thoảng khuấy bằng thìa gỗ. Nhấc ra khỏi bếp."
chocolate-raspberry-brownies,Chocolate Raspberry Brownies,2,"Stir the eggs, one by one, into the melted chocolate mixture. Sieve over the flour and cocoa, and stir in. Stir in half the raspberries, scrape into the tray, then scatter over the remaining raspberries. Bake on the middle shelf for 30 mins or, if you prefer a firmer texture, for 5 mins more. Cool before slicing into squares. Store in an airtight container for up to 3 days.","Cho từng quả trứng vào hỗn hợp sô cô la đã đun chảy và khuấy đều. Rây bột mì và bột ca cao vào, rồi khuấy đều. Cho một nửa số quả mâm xôi vào và khuấy đều, đổ vào khay, sau đó rắc phần quả mâm xôi còn lại lên trên. Nướng ở ngăn giữa trong 30 phút hoặc thêm 5 phút nếu muốn bánh cứng hơn. Để nguội trước khi cắt thành miếng vuông. Bảo quản trong hộp kín khí tối đa 3 ngày."
vietnamese-pork-salad,Vietnamese pork salad,1,"The day before: make the dressing. Put the sugar and lime juice in a pan with 1 tbsp water and bring to the boil to dissolve the sugar. Add the chilli and coriander and stir well, then pulse in a blender until smooth. Tip into a bowl, then stir in the sesame oil, fish sauce, soy sauce and sesame seeds to make a dressing. Cover and chill until needed.","Ngày hôm trước: làm nước xốt. Cho đường và nước cốt chanh vào nồi cùng 1 muỗng canh nước và đun sôi để đường tan. Thêm ớt và ngò rí vào, khuấy đều, sau đó xay nhuyễn bằng máy xay sinh tố. Trút ra tô, sau đó cho dầu mè, nước mắm, nước tương và hạt mè vào khuấy đều để làm nước xốt. Đậy nắp và làm lạnh cho đến khi cần dùng."
vietnamese-pork-salad,Vietnamese pork salad,2,"Two hours before serving: heat a griddle pan. Preheat the oven to 200C/gas 6/fan 180C. Brush the pork with oil and griddle on all sides for a few minutes until seared. Transfer to a baking tray and put in the oven for about 10-12 minutes until cooked through. Cool, thinly slice against the grain of the meat. Tip into a bowl and pour over half the dressing.","Hai giờ trước khi dọn ra: làm nóng chảo nướng (griddle pan). Làm nóng lò nướng ở 200C/gas 6/fan 180C. Phết dầu lên thịt heo và nướng áp chảo (griddle) mỗi mặt trong vài phút cho đến khi xém. Chuyển sang khay nướng và cho vào lò khoảng 10-12 phút cho đến khi chín hoàn toàn. Để nguội, thái lát mỏng ngang thớ thịt. Cho vào tô và rưới một nửa phần nước sốt (dressing) lên."
vietnamese-pork-salad,Vietnamese pork salad,3,"To serve: toss the remaining salad ingredients in a bowl with the remaining dressing. Pile on to a platter, top with the pork slices and spoon over any juices.","Khi dùng: trộn các nguyên liệu salad còn lại trong tô với phần nước sốt còn lại. Xếp lên đĩa, đặt các lát thịt heo lên trên và rưới phần nước thịt còn lại lên."
15-minute-chicken--halloumi-burgers,15-minute chicken & halloumi burgers,1,Put the chicken breasts between two pieces of baking parchment and use a rolling pin to gently bash them until they are approximately 1cm thick. Cut each chicken breast into two even pieces.,"Đặt ức gà giữa hai miếng giấy nến, dùng cây cán bột đập nhẹ cho đến khi dày khoảng 1cm. Cắt mỗi miếng ức gà thành hai phần bằng nhau."
15-minute-chicken--halloumi-burgers,15-minute chicken & halloumi burgers,2,"If you're using a frying pan, heat two frying pans over medium-high heat, with one of them containing oil. Fry the chicken in the oiled pan for 3-4 mins on each side until they are cooked through. Season the chicken, reduce the heat, drizzle in the chilli sauce and half of the lemon juice, and cook for an additional 1-2 mins until the sauce is reduced. Remove the chicken from the heat.","Nếu bạn dùng chảo, hãy làm nóng hai cái chảo ở lửa vừa-lớn, một trong số đó có dầu ăn. Chiên gà trong chảo có dầu ăn trong 3-4 phút mỗi mặt cho đến khi chín đều. Nêm gia vị cho gà, giảm lửa, rưới nước sốt ớt và một nửa nước cốt chanh vào, và nấu thêm 1-2 phút cho đến khi nước sốt sệt lại. Gắp gà ra khỏi bếp."
15-minute-chicken--halloumi-burgers,15-minute chicken & halloumi burgers,3,"If you're using an air-fryer, preheat it to 180C for 4 mins. Add the chicken to the air-fryer and cook for 12 mins. Drizzle over the chilli sauce and half the lemon juice and cook for an additional 1-2 mins until the chicken is cooked through and the sauce is reduced. Remove the chicken and keep it warm.","Nếu bạn dùng nồi chiên không dầu, làm nóng nồi ở 180°C trong 4 phút. Cho gà vào nồi chiên không dầu và chiên 12 phút. Rưới sốt ớt và một nửa nước cốt chanh lên, chiên thêm 1-2 phút cho đến khi gà chín hoàn toàn và nước sốt sệt lại. Lấy gà ra và giữ ấm."
15-minute-chicken--halloumi-burgers,15-minute chicken & halloumi burgers,4,"While the chicken is cooking, toast the buns in the dry frying pan for 30 seconds. Transfer them to a plate. If you're using an air fryer, put the buns in the air fryer for 1-2 mins until they are warm. Increase the air fryer temperature to 200C. Add the halloumi to the air fryer basket and cook for 10 mins, turning halfway through, until it's golden. Toss the cabbage with the mayo and the remaining lemon juice.","Trong khi gà đang nấu, nướng bánh mì tròn trong chảo khô khoảng 30 giây. Chuyển bánh mì ra đĩa. Nếu bạn dùng nồi chiên không dầu, cho bánh mì vào nồi chiên không dầu trong 1-2 phút cho đến khi bánh ấm. Tăng nhiệt độ nồi chiên không dầu lên 200°C. Cho phô mai halloumi vào giỏ nồi chiên không dầu và nấu trong 10 phút, trở mặt giữa chừng, cho đến khi vàng. Trộn bắp cải với sốt mayonnaise và phần nước cốt chanh còn lại."
15-minute-chicken--halloumi-burgers,15-minute chicken & halloumi burgers,5,"Spoon the hummus (or dip of your choice) into the toasted buns, then top with the rocket, chilli chicken, halloumi, and peppers. Drizzle with a little more chilli sauce, spoon over the cabbage, season with black pepper, and top with the bun lids. Serve with any extra cabbage on the side or a green salad.","Múc sốt hummus (hoặc loại sốt chấm tùy chọn) vào bánh mì đã nướng, sau đó cho cải rocket, thịt gà ướp ớt, phô mai halloumi và ớt chuông lên trên. Rưới thêm một chút sốt ớt, múc bắp cải lên, nêm tiêu đen, rồi đậy nắp bánh mì. Dùng kèm với phần bắp cải còn dư ở bên cạnh hoặc salad xanh."
cream-cheese-tart,Cream Cheese Tart,1,"Crust: make a dough from 250g flour (I like mixing different flours like plain and wholegrain spelt flour), 125g butter, 1 egg and a pinch of salt, press it into a tart form and place it in the fridge.","Đế bánh: nhào bột từ 250g bột mì (tôi thích trộn các loại bột khác nhau như bột mì đa dụng và bột mì dẻo nguyên cám), 125g bơ, 1 quả trứng và một nhúm muối, nén chặt vào khuôn bánh tart và cho vào tủ lạnh."
cream-cheese-tart,Cream Cheese Tart,2,"Filling: stir 300g cream cheese and 100ml milk until smooth, add in 3 eggs, 100g grated parmesan cheese and season with salt, pepper and nutmeg.","Nhân: khuấy 300g cream cheese và 100ml sữa tươi cho đến khi mịn, thêm 3 quả trứng, 100g phô mai parmesan bào và nêm với muối, tiêu và hạt nhục đậu khấu."
cream-cheese-tart,Cream Cheese Tart,3,Take the crust out of the fridge and prick the bottom with a fork.,Lấy vỏ bánh ra khỏi tủ lạnh và dùng nĩa xăm đáy bánh.
cream-cheese-tart,Cream Cheese Tart,4,Pour in the filling and bake at 175 degrees C for about 25 minutes.,Đổ nhân vào và nướng ở 175 độ C khoảng 25 phút.
cream-cheese-tart,Cream Cheese Tart,5,Cover the tart with some aluminium foil after half the time.,"Sau nửa thời gian, phủ bánh tart bằng giấy bạc."
cream-cheese-tart,Cream Cheese Tart,6,"In the mean time, slice about 350g mini tomatoes.","Trong lúc đó, cắt lát khoảng 350g cà chua bi."
cream-cheese-tart,Cream Cheese Tart,7,"In a small pan heat 3tbsp olive oil, 3tbsp white vinegar, 1 tbsp honey, salt and pepper and combine well.","Cho 3 muỗng canh dầu ô liu, 3 muỗng canh giấm trắng, 1 muỗng canh mật ong, muối và tiêu vào chảo nhỏ, đun nóng và trộn đều."
cream-cheese-tart,Cream Cheese Tart,8,Pour over the tomato slices and mix well.,Rưới lên các lát cà chua và trộn đều.
cream-cheese-tart,Cream Cheese Tart,9,"With a spoon, place the tomato slices on the tart, avoiding too much liquid on it.","Dùng muỗng đặt các lát cà chua lên bánh tart, tránh để quá nhiều nước."
cream-cheese-tart,Cream Cheese Tart,10,Decorate with basil leaves and enjoy.,Trang trí bằng lá húng quế và thưởng thức.
home-made-mandazi,Home-made Mandazi,1,"This is one recipe a lot of people have requested and I have tried to make it as simple as possible and I hope it will work for you. Make sure you use the right flour which is basically one with raising agents. Adjust the amount of sugar to your taste and try using different flavours to have variety whenever you have them.
You can use Coconut milk instead of regular milk, you can also add desiccated coconut to the dry flour or other spices like powdered cloves or cinnamon.
For “healthy looking” mandazis do not roll the dough too thin before frying and use the procedure I have indicated above.","Đây là một công thức mà rất nhiều người đã yêu cầu và tôi đã cố gắng làm cho nó đơn giản nhất có thể và tôi hy vọng nó sẽ hiệu quả với bạn. Hãy chắc chắn rằng bạn sử dụng loại bột mì phù hợp, về cơ bản là loại có chất gây nở. Điều chỉnh lượng đường theo khẩu vị của bạn và thử sử dụng các hương vị khác nhau để có sự đa dạng mỗi khi bạn dùng. Bạn có thể dùng nước cốt dừa thay cho sữa thông thường, bạn cũng có thể thêm dừa nạo sấy vào bột khô hoặc các loại gia vị khác như bột đinh hương hoặc quế. Để có mandazis ""trông đẹp mắt"" thì đừng cán bột quá mỏng trước khi chiên và làm theo quy trình tôi đã chỉ ra ở trên."
home-made-mandazi,Home-made Mandazi,2,"Mix the flour,cinnamon and sugar in a suitable bowl.","Trộn bột mì, quế và đường trong một cái tô thích hợp."
home-made-mandazi,Home-made Mandazi,3,In a separate bowl whisk the egg into the milk,"Trong một tô riêng, đánh trứng vào sữa."
home-made-mandazi,Home-made Mandazi,4,Make a well at the centre of the flour and add the milk and egg mixture and slowly mix to form a dough.,"Tạo một lỗ trũng ở giữa bột, cho hỗn hợp sữa và trứng vào, từ từ trộn đều để tạo thành khối bột."
home-made-mandazi,Home-made Mandazi,5,Knead the dough for 3-4 minutes or until it stops sticking to the sides of the bowl and you have a smooth surface.,Nhào bột trong 3-4 phút hoặc cho đến khi bột không còn dính vào thành tô và có bề mặt mịn.
home-made-mandazi,Home-made Mandazi,6,Cover the dough with a damp cloth  and allow to rest for 15 minutes.,Đậy bột bằng khăn ẩm và để bột nghỉ 15 phút.
home-made-mandazi,Home-made Mandazi,7,Roll the dough on a lightly floured surface into a 1cm thick piece.,Cán bột trên một mặt phẳng đã rắc lớp bột mỏng thành miếng dày 1cm.
home-made-mandazi,Home-made Mandazi,8,"Using a sharp small knife, cut the dough into the desired size setting aside ready for deep frying.","Dùng dao nhỏ sắc cắt bột thành miếng kích thước mong muốn, đặt sang một bên, sẵn sàng để chiên ngập dầu."
home-made-mandazi,Home-made Mandazi,9,Heat your oil in a suitable pot and gently dip the mandazi pieces to cook until light brown on the first side then turn to cook on the second side.,"Đun nóng dầu ăn trong nồi thích hợp, sau đó nhẹ nhàng thả từng viên mandazi vào chiên cho đến khi mặt thứ nhất vàng nhạt thì trở mặt chiên tiếp mặt thứ hai."
home-made-mandazi,Home-made Mandazi,10,Serve them warm or cold,Dùng nóng hoặc lạnh.
apple-cake,Apple cake,1,Preheat the oven to 180°C. (350˚F) Grease a cake pan and line it with baking paper.,Làm nóng lò nướng đến 180°C. (350˚F) Quét dầu hoặc bơ vào khuôn bánh và lót giấy nướng.
apple-cake,Apple cake,2,"In a large bowl, break the four eggs with the sugar and beat until they have tripled in volume and become fluffy.","Trong một cái tô lớn, đập vỡ bốn quả trứng với đường và đánh cho đến khi trứng nở gấp ba lần và bông lên."
apple-cake,Apple cake,3,"Sift the self-rising baking flour and add it to your egg mixture. Fold this over, preserving as much air as possible. Add the melted (and slightly cooled) butter and mix until combined.","Rây bột nở tự nổi rồi cho vào hỗn hợp trứng. Trộn đều, giữ lại càng nhiều không khí càng tốt. Cho bơ đã đun chảy (và hơi nguội) vào, trộn đều cho đến khi hòa quyện."
apple-cake,Apple cake,4,"Add cinnamon, pinch of salt and vanilla extract.","Thêm quế, nhúm muối và tinh chất vani."
apple-cake,Apple cake,5,Add the diced apple to the batter and gently fold them into the batter so that the apple pieces are evenly distributed. You can roll the apple pieces through some more cinnamon.,"Cho táo cắt hạt lựu vào hỗn hợp bột, nhẹ nhàng trộn đều để táo được phân bố đều. Bạn có thể lăn táo qua thêm một chút bột quế."
apple-cake,Apple cake,6,Pour the batter into the prepared cake pan and smooth the top with a spatula.,Đổ hỗn hợp bột vào khuôn bánh đã chuẩn bị và làm mịn mặt bánh bằng spatula.
apple-cake,Apple cake,7,Place the apple slices on top of the batter and press lightly. Sprinkle optionally with some almond shavings.,Xếp các lát táo lên trên hỗn hợp bột và ấn nhẹ. Rắc thêm một ít hạnh nhân cắt lát nếu muốn.
apple-cake,Apple cake,8,"Bake the apple cake in the preheated oven for about 45-50 minutes, or until a wooden skewer comes out clean when inserted into the center of the cake.","Nướng bánh táo trong lò đã làm nóng trước khoảng 45-50 phút, hoặc cho đến khi que xiên gỗ đâm vào giữa bánh rút ra sạch."
apple-cake,Apple cake,9,Remove the cake from the oven and let it cool in the mold for a few minutes. Then carefully remove the cake from the mold and let cool completely on a wire rack.,Lấy bánh ra khỏi lò và để nguội trong khuôn vài phút. Sau đó cẩn thận lấy bánh ra khỏi khuôn và để nguội hoàn toàn trên giá lưới.
apple-cake,Apple cake,10,Sprinkle the cooled apple cake with powdered sugar,Rắc đường bột lên bánh táo đã nguội.
kvæfjord-cake-verdens-beste-worlds-best-cake,Kvæfjord Cake “Verdens Beste” (World’s Best Cake),1,Vanilla custard,Kem sữa trứng vani
kvæfjord-cake-verdens-beste-worlds-best-cake,Kvæfjord Cake “Verdens Beste” (World’s Best Cake),2,Separate the egg yolks and set aside the whites to use in the meringue.,"Tách lòng đỏ trứng, để riêng lòng trắng để dùng làm meringue."
kvæfjord-cake-verdens-beste-worlds-best-cake,Kvæfjord Cake “Verdens Beste” (World’s Best Cake),3,"Whisk together the egg yolks, cornstarch and sugar in a bowl.","Đánh lòng đỏ trứng, bột ngô và đường với nhau trong tô."
kvæfjord-cake-verdens-beste-worlds-best-cake,Kvæfjord Cake “Verdens Beste” (World’s Best Cake),4,"Heat the cream and milk in a saucepan. Split open the vanilla pod and add the beans to the saucepan. Once the milk begins to bubble pour about half of it into the bowl with the egg mixture, whisking constantly. Then return the saucepan to the heat and pour the egg mixture back into the saucepan with remaining milk, whisking constantly. Once the mixture thickens lower the heat and continue whisking for about 30 seconds.","Đun nóng kem tươi và sữa trong nồi. Tách đôi quả vani và thêm hạt vani vào nồi. Khi sữa bắt đầu sôi lăn tăn, đổ khoảng một nửa vào tô đựng hỗn hợp trứng, vừa đổ vừa khuấy liên tục. Sau đó, đặt nồi trở lại bếp và đổ hỗn hợp trứng trở lại nồi cùng với phần sữa còn lại, vừa đổ vừa khuấy liên tục. Khi hỗn hợp đặc lại, hạ lửa nhỏ và tiếp tục khuấy khoảng 30 giây."
kvæfjord-cake-verdens-beste-worlds-best-cake,Kvæfjord Cake “Verdens Beste” (World’s Best Cake),5,"Pour the custard into a clean bowl and cover with plastic wrap, placing the plastic directly on the top layer of the custard. Chill in the fridge.","Đổ kem trứng (custard) vào tô sạch rồi bọc màng bọc thực phẩm, đặt màng bọc trực tiếp lên bề mặt kem trứng. Làm lạnh trong tủ lạnh."
kvæfjord-cake-verdens-beste-worlds-best-cake,Kvæfjord Cake “Verdens Beste” (World’s Best Cake),6,"Mix together butter and sugar until light and fluffy. Add egg yolks one at a time, setting aside the egg whites for the meringue. Add the flour mixed with baking powder. Stir in the milk, beating until smooth (you can use an electric mixer if you prefer).","Trộn bơ và đường cho đến khi hỗn hợp nhẹ và bông. Thêm lòng đỏ trứng từng cái một, giữ lại lòng trắng trứng để làm meringue. Thêm bột mì đã trộn với bột nở. Đánh sữa vào, khuấy cho đến khi mịn (bạn có thể dùng máy đánh trứng điện nếu thích)."
kvæfjord-cake-verdens-beste-worlds-best-cake,Kvæfjord Cake “Verdens Beste” (World’s Best Cake),7,"Preheat oven to 320°F (160°C). Cover a baking sheet with baking paper and spread out the batter into a large, even rectangle.","Làm nóng lò nướng ở 320°F (160°C). Lót giấy nướng lên khay nướng và dàn đều hỗn hợp bột thành hình chữ nhật lớn, phẳng."
kvæfjord-cake-verdens-beste-worlds-best-cake,Kvæfjord Cake “Verdens Beste” (World’s Best Cake),8,Meringue topping,Lớp kem trứng đường (Meringue)
kvæfjord-cake-verdens-beste-worlds-best-cake,Kvæfjord Cake “Verdens Beste” (World’s Best Cake),9,"Whisk together the egg whites and sugar until you get glossy, stiff peaks. The meringue should hold its form – if it still melts continue whisking.","Đánh bông lòng trắng trứng với đường cho đến khi có chóp cứng, bóng mượt. Meringue phải giữ được hình dạng của nó – nếu vẫn còn chảy thì tiếp tục đánh."
kvæfjord-cake-verdens-beste-worlds-best-cake,Kvæfjord Cake “Verdens Beste” (World’s Best Cake),10,"Spread out the meringue on top of the cake batter. Use a spatula to form light waves with the meringue. Sprinkle almonds on top of the meringue. Bake for about 30 minutes, until the meringue and almonds are golden.",Trải đều lớp kem trứng (meringue) lên trên mặt bánh. Dùng spatula tạo sóng nhẹ cho lớp kem. Rắc hạnh nhân lên trên. Nướng khoảng 30 phút cho đến khi kem và hạnh nhân có màu vàng.
kvæfjord-cake-verdens-beste-worlds-best-cake,Kvæfjord Cake “Verdens Beste” (World’s Best Cake),11,Cream filling,Kem nhân
kvæfjord-cake-verdens-beste-worlds-best-cake,Kvæfjord Cake “Verdens Beste” (World’s Best Cake),12,Whisk the cream into stiff peaks. Carefully fold in the vanilla custard.,Đánh kem đến khi bông cứng. Nhẹ nhàng trộn kem sữa vani vào.
kvæfjord-cake-verdens-beste-worlds-best-cake,Kvæfjord Cake “Verdens Beste” (World’s Best Cake),13,"Once the cake has cooled, cut it in half. You can use scissors for this, or a knife on a cutting board, slicing through the baking paper as well.","Khi bánh đã nguội, cắt đôi bánh. Bạn có thể dùng kéo hoặc dùng dao trên thớt, cắt xuyên qua giấy nướng."
kvæfjord-cake-verdens-beste-worlds-best-cake,Kvæfjord Cake “Verdens Beste” (World’s Best Cake),14,Place half of the cake on a serving platter with the meringue side down and peel off the baking paper.,"Đặt nửa bánh lên đĩa phục vụ, mặt bánh trứng đường úp xuống, rồi lột bỏ giấy nướng."
kvæfjord-cake-verdens-beste-worlds-best-cake,Kvæfjord Cake “Verdens Beste” (World’s Best Cake),15,"Spread the cream filling across the cake. Then carefully remove the other half of the cake from the baking paper and place it over the cream filling, meringue side up.","Phết kem lấp đầy khắp mặt bánh. Sau đó, cẩn thận gỡ nửa còn lại của bánh ra khỏi giấy nướng và đặt lên trên lớp kem lấp đầy, mặt bánh meringue hướng lên."
kvæfjord-cake-verdens-beste-worlds-best-cake,Kvæfjord Cake “Verdens Beste” (World’s Best Cake),16,Serve with fresh berries.,Dùng kèm với các loại quả mọng tươi.
imam-bayildi-with-bbq-lamb--tzatziki,Imam bayildi with BBQ lamb & tzatziki,1,"Heat oven to 190C/170C fan/gas 5. Halve the aubergines lengthways and score the flesh side deeply, brush with a good layer of olive oil and put on a baking sheet. Roast for 20 mins or until the flesh is soft enough to scoop out.","Bật lò nướng ở 190°C/quạt 170°C/gas 5. Bổ đôi cà tím theo chiều dọc và khứa sâu phần thịt, quét một lớp dầu ô liu lên và đặt lên khay nướng. Nướng khoảng 20 phút hoặc đến khi phần thịt mềm đủ để múc ra."
