exercise_slug,language_code,step_order,instruction
Advanced_Kettlebell_Windmill,en,2,"Keeping the kettlebell locked out at all times, push your butt out in the direction of the locked out kettlebell. Keep the non-working arm behind your back and turn your feet out at a forty-five degree angle from the arm with the kettlebell."
Advanced_Kettlebell_Windmill,vi,2,"Giữ tạ chuông khóa tay suốt thời gian, đẩy hông về phía tạ chuông. Giữ cánh tay không tập luyện ra sau lưng và xoay bàn chân một góc 45 độ so với cánh tay giữ tạ chuông."
Advanced_Kettlebell_Windmill,en,3,Lower yourself as far as possible.
Advanced_Kettlebell_Windmill,vi,3,Hạ thấp người hết mức có thể.
Advanced_Kettlebell_Windmill,en,4,Pause for a second and reverse the motion back to the starting position.
Advanced_Kettlebell_Windmill,vi,4,Tạm dừng một giây rồi đảo ngược chuyển động về vị trí ban đầu.
Air_Bike,en,1,"Lie flat on the floor with your lower back pressed to the ground. For this exercise, you will need to put your hands beside your head. Be careful however to not strain with the neck as you perform it. Now lift your shoulders into the crunch position."
Air_Bike,vi,1,"Nằm ngửa, lưng dưới ép sát sàn. Đặt tay sau đầu, tránh căng cổ. Nâng vai lên tư thế gập bụng."
Air_Bike,en,2,"Bring knees up to where they are perpendicular to the floor, with your lower legs parallel to the floor. This will be your starting position."
Air_Bike,vi,2,"Nâng đầu gối vuông góc với sàn, cẳng chân song song với sàn. Đây là vị trí bắt đầu."
Air_Bike,en,3,"Now simultaneously, slowly go through a cycle pedal motion kicking forward with the right leg and bringing in the knee of the left leg. Bring your right elbow close to your left knee by crunching to the side, as you breathe out."
Air_Bike,vi,3,"Đồng thời, thực hiện động tác đạp xe đạp chậm rãi, đá chân phải về phía trước và co gối chân trái vào. Thở ra, siết cơ bụng và đưa cùi chỏ phải gần đầu gối trái."
Air_Bike,en,4,Go back to the initial position as you breathe in.
Air_Bike,vi,4,Trở về vị trí ban đầu khi hít vào.
Air_Bike,en,5,Crunch to the opposite side as you cycle your legs and bring closer your left elbow to your right knee and exhale.
Air_Bike,vi,5,"Gập bụng chéo, đạp xe chân, đưa khuỷu tay trái chạm gối phải và thở ra."
Air_Bike,en,6,Continue alternating in this manner until all of the recommended repetitions for each side have been completed.
Air_Bike,vi,6,Tiếp tục luân phiên như vậy cho đến khi hoàn thành số lần lặp lại được khuyến nghị cho mỗi bên.
All_Fours_Quad_Stretch,en,1,"Start off on your hands and knees, then lift your leg off the floor and hold the foot with your hand."
All_Fours_Quad_Stretch,vi,1,"Bắt đầu bằng tư thế quỳ gối, sau đó nâng chân lên khỏi sàn và nắm bàn chân bằng tay."
All_Fours_Quad_Stretch,en,2,"Use your hand to hold the foot or ankle, keeping the knee fully flexed, stretching the quadriceps and hip flexors."
All_Fours_Quad_Stretch,vi,2,"Dùng tay giữ bàn chân hoặc cổ chân, gập gối hết cỡ, căng cơ đùi trước và cơ gập hông."
All_Fours_Quad_Stretch,en,3,"Focus on extending your hips, thrusting them towards the floor. Hold for 10-20 seconds and then switch sides."
All_Fours_Quad_Stretch,vi,3,"Tập trung duỗi hông, đẩy chúng về phía sàn. Giữ 10-20 giây rồi đổi bên."
Alternate_Hammer_Curl,en,1,Stand up with your torso upright and a dumbbell in each hand being held at arms length. The elbows should be close to the torso.
Alternate_Hammer_Curl,vi,1,"Đứng thẳng, thân trên giữ vững, mỗi tay cầm một tạ đơn duỗi thẳng. Khuỷu tay sát thân."
Alternate_Hammer_Curl,en,2,The palms of the hands should be facing your torso. This will be your starting position.
Alternate_Hammer_Curl,vi,2,Lòng bàn tay hướng vào thân. Đây là tư thế bắt đầu của bạn.
Alternate_Hammer_Curl,en,3,"While holding the upper arm stationary, curl the right weight forward while contracting the biceps as you breathe out. Continue the movement until your biceps is fully contracted and the dumbbells are at shoulder level. Hold the contracted position for a second as you squeeze the biceps. Tip: Only the forearms should move."
Alternate_Hammer_Curl,vi,3,"Giữ cánh tay trên cố định, cuộn tạ phải về phía trước và siết cơ bắp tay khi thở ra. Tiếp tục cho đến khi bắp tay co hoàn toàn và tạ ngang vai. Giữ ở vị trí co trong một giây và siết bắp tay. Lưu ý: Chỉ cẳng tay di chuyển."
Alternate_Hammer_Curl,en,4,Slowly begin to bring the dumbbells back to starting position as your breathe in.
Alternate_Hammer_Curl,vi,4,Chậm rãi đưa tạ đơn về vị trí ban đầu đồng thời hít vào.
Alternate_Hammer_Curl,en,5,Repeat the movement with the left hand. This equals one repetition.
Alternate_Hammer_Curl,vi,5,Lặp lại động tác bằng tay trái. Đây là một lần lặp lại.
Alternate_Hammer_Curl,en,6,Continue alternating in this manner for the recommended amount of repetitions.
Alternate_Hammer_Curl,vi,6,Tiếp tục luân phiên theo cách này cho số lần lặp lại được khuyến nghị.
Alternate_Heel_Touchers,en,1,Lie on the floor with the knees bent and the feet on the floor around 18-24 inches apart. Your arms should be extended by your side. This will be your starting position.
Alternate_Heel_Touchers,vi,1,"Nằm ngửa trên sàn, đầu gối gập và hai chân đặt trên sàn cách nhau khoảng 45-60 cm. Hai tay duỗi thẳng dọc theo thân. Đây là vị trí bắt đầu."
Alternate_Heel_Touchers,en,2,Crunch over your torso forward and up about 3-4 inches to the right side and touch your right heel as you hold the contraction for a second. Exhale while performing this movement.
Alternate_Heel_Touchers,vi,2,"Gập thân người về phía trước và lên khoảng 8-10cm sang bên phải, chạm vào gót chân phải đồng thời giữ cơ co lại trong một giây. Thở ra khi thực hiện động tác này."
Alternate_Heel_Touchers,en,3,Now go back slowly to the starting position as you inhale.
Alternate_Heel_Touchers,vi,3,Về từ từ vị trí ban đầu trong khi hít vào.
Alternate_Heel_Touchers,en,4,"Now crunch over your torso forward and up around 3-4 inches to the left side and touch your left heel as you hold the contraction for a second. Exhale while performing this movement and then go back to the starting position as you inhale. Now that both heels have been touched, that is considered 1 repetition."
Alternate_Heel_Touchers,vi,4,"Gập thân người lên và về phía trước khoảng 7-10 cm sang bên trái, chạm gót chân trái và giữ siết cơ trong một giây. Thở ra khi thực hiện động tác này, sau đó hít vào và trở lại vị trí ban đầu. Chạm cả hai gót chân được tính là 1 lần lặp."
Alternate_Heel_Touchers,en,5,Continue alternating sides in this manner until all prescribed repetitions are done.
Alternate_Heel_Touchers,vi,5,Tiếp tục luân phiên các bên cho đến khi hoàn thành số lần lặp lại được chỉ định.
Alternate_Incline_Dumbbell_Curl,en,1,Sit down on an incline bench with a dumbbell in each hand being held at arms length. Tip: Keep the elbows close to the torso.This will be your starting position.
Alternate_Incline_Dumbbell_Curl,vi,1,"Ngồi lên ghế dốc, mỗi tay cầm một quả tạ đơn, duỗi thẳng tay. Lưu ý: Giữ khuỷu tay sát thân mình. Đây là vị trí bắt đầu."
Alternate_Incline_Dumbbell_Curl,en,2,"While holding the upper arm stationary, curl the right weight forward while contracting the biceps as you breathe out. As you do so, rotate the hand so that the palm is facing up. Continue the movement until your biceps is fully contracted and the dumbbells are at shoulder level. Hold the contracted position for a second as you squeeze the biceps. Tip: Only the forearms should move."
Alternate_Incline_Dumbbell_Curl,vi,2,"Giữ cánh tay trên cố định, cuộn tạ phải về phía trước, siết cơ bắp tay khi thở ra. Xoay bàn tay ngửa lên. Tiếp tục chuyển động cho đến khi cơ bắp tay co hoàn toàn và tạ ngang vai. Giữ nguyên tư thế co cơ trong một giây. Gợi ý: Chỉ cẳng tay di chuyển."
Alternate_Incline_Dumbbell_Curl,en,3,Slowly begin to bring the dumbbell back to starting position as your breathe in.
Alternate_Incline_Dumbbell_Curl,vi,3,Từ từ đưa tạ đơn về vị trí ban đầu trong khi hít vào.
Alternate_Incline_Dumbbell_Curl,en,4,Repeat the movement with the left hand. This equals one repetition.
Alternate_Incline_Dumbbell_Curl,vi,4,Lặp lại động tác với tay trái. Tính là một lần.
Alternate_Incline_Dumbbell_Curl,en,5,Continue alternating in this manner for the recommended amount of repetitions.
Alternate_Incline_Dumbbell_Curl,vi,5,Tiếp tục luân phiên theo cách này cho số lần lặp lại được khuyến nghị.
Alternate_Leg_Diagonal_Bound,en,1,Assume a comfortable stance with one foot slightly in front of the other.
Alternate_Leg_Diagonal_Bound,vi,1,Đứng thoải mái với một chân hơi phía trước chân kia.
Alternate_Leg_Diagonal_Bound,en,2,"Begin by pushing off with the front leg, driving the opposite knee forward and as high as possible before landing. Attempt to cover as much distance to each side with each bound."
Alternate_Leg_Diagonal_Bound,vi,2,"Bắt đầu bằng cách đẩy chân trước, đưa đầu gối đối diện về phía trước và lên cao nhất có thể trước khi tiếp đất. Cố gắng đạt khoảng cách tối đa sang mỗi bên với mỗi bước nhảy."
Alternate_Leg_Diagonal_Bound,en,3,It may help to use a line on the ground to guage distance from side to side.
Alternate_Leg_Diagonal_Bound,vi,3,Bạn nên dùng một đường kẻ dưới sàn để đo khoảng cách di chuyển từ bên này sang bên kia.
Alternate_Leg_Diagonal_Bound,en,4,Repeat the sequence with the other leg.
Alternate_Leg_Diagonal_Bound,vi,4,Lặp lại trình tự với chân kia.
Alternating_Cable_Shoulder_Press,en,1,Move the cables to the bottom of the tower and select an appropriate weight.
Alternating_Cable_Shoulder_Press,vi,1,Di chuyển cáp xuống dưới trụ và chọn mức tạ thích hợp.
Alternating_Cable_Shoulder_Press,en,2,"Grasp the cables and hold them at shoulder height, palms facing forward. This will be your starting position."
Alternating_Cable_Shoulder_Press,vi,2,"Nắm cáp và giữ ngang vai, lòng bàn tay hướng về phía trước. Đây là vị trí bắt đầu của bạn."
Alternating_Cable_Shoulder_Press,en,3,"Keeping your head and chest up, extend through the elbow to press one side directly over head."
Alternating_Cable_Shoulder_Press,vi,3,"Giữ đầu và ngực thẳng, duỗi thẳng khuỷu tay để ép tạ qua đầu."
Alternating_Cable_Shoulder_Press,en,4,"After pausing at the top, return to the starting position and repeat on the opposite side."
Alternating_Cable_Shoulder_Press,vi,4,"Sau khi tạm dừng ở đỉnh, trở về vị trí bắt đầu và lặp lại với bên đối diện."
Alternating_Deltoid_Raise,en,1,"In a standing position, hold a pair of dumbbells at your side."
Alternating_Deltoid_Raise,vi,1,"Đứng thẳng, hai tay giữ tạ đơn dọc thân."
Alternating_Deltoid_Raise,en,2,"Keeping your elbows slightly bent, raise the weights directly in front of you to shoulder height, avoiding any swinging or cheating."
Alternating_Deltoid_Raise,vi,2,"Giữ khuỷu tay hơi cong, nâng tạ thẳng ra trước ngang vai, tránh đánh hoặc gian lận."
Alternating_Deltoid_Raise,en,3,Return the weights to your side.
Alternating_Deltoid_Raise,vi,3,Hạ tạ về vị trí ban đầu.
Alternating_Deltoid_Raise,en,4,"On the next repetition, raise the weights laterally, raising them out to your side to about shoulder height."
Alternating_Deltoid_Raise,vi,4,"Lần lặp tiếp theo, nâng tạ sang hai bên đến ngang vai."
Alternating_Deltoid_Raise,en,5,Return the weights to the starting position and continue alternating to the front and side.
Alternating_Deltoid_Raise,vi,5,Đưa tạ về vị trí ban đầu và tiếp tục luân phiên đưa lên trước và sang bên.
Alternating_Floor_Press,en,1,Lie on the floor with two kettlebells next to your shoulders.
Alternating_Floor_Press,vi,1,"Nằm trên sàn, đặt hai tạ ấm cạnh vai."
Alternating_Floor_Press,en,2,"Position one in place on your chest and then the other, gripping the kettlebells on the handle with the palms facing forward."
Alternating_Floor_Press,vi,2,"Đặt từng quả lên ngực, nắm chặt tay cầm chuông, lòng bàn tay hướng về phía trước."
Alternating_Floor_Press,en,3,"Extend both arms, so that the kettlebells are being held above your chest. Lower one kettlebell, bringing it to your chest and turn the wrist in the direction of the locked out kettlebell."
Alternating_Floor_Press,vi,3,"Duỗi thẳng hai tay, giữ tạ chuông phía trên ngực. Hạ một tạ chuông về ngực và xoay cổ tay theo hướng tạ chuông đang khóa."
Alternating_Floor_Press,en,4,Raise the kettlebell and repeat on the opposite side.
Alternating_Floor_Press,vi,4,Nâng tạ ấm và lặp lại ở bên đối diện.
Alternating_Hang_Clean,en,1,"Place two kettlebells between your feet. To get in the starting position, push your butt back and look straight ahead."
Alternating_Hang_Clean,vi,1,"Đặt hai quả tạ chuông giữa hai chân. Để vào tư thế bắt đầu, đẩy hông ra sau và nhìn thẳng."
Alternating_Hang_Clean,en,2,Clean one kettlebell to your shoulder and hold on to the other kettlebell in a hanging position. Clean the kettlebell to your shoulder by extending through the legs and hips as you pull the kettlebell towards your shoulders. Rotate your wrist as you do so.
Alternating_Hang_Clean,vi,2,Đẩy một tạ chuông lên vai và giữ tạ chuông còn lại ở tư thế treo. Đẩy tạ chuông lên vai bằng cách duỗi thẳng chân và hông khi kéo tạ chuông về phía vai. Xoay cổ tay khi thực hiện.
Alternating_Hang_Clean,en,3,Lower the cleaned kettlebell to a hanging position and clean the alternate kettlebell. Repeat.
Alternating_Hang_Clean,vi,3,Hạ tạ chuông đã sạch xuống tư thế treo và clean tạ chuông luân phiên. Lặp lại.
Alternating_Kettlebell_Press,en,1,Clean two kettlebells to your shoulders. Clean the kettlebells to your shoulders by extending through the legs and hips as you pull the kettlebells towards your shoulders. Rotate your wrists as you do so.
Alternating_Kettlebell_Press,vi,1,Tách hai tạ chuông lên vai. Tách tạ chuông lên vai bằng cách duỗi thẳng chân và hông khi kéo tạ chuông lên vai. Xoay cổ tay khi thực hiện.
Alternating_Kettlebell_Press,en,2,"Press one directly overhead by extending through the elbow, turning it so the palm faces forward while holding the other kettlebell stationary ."
Alternating_Kettlebell_Press,vi,2,"Nhấn tạ qua đầu bằng cách duỗi thẳng khuỷu tay, xoay lòng bàn tay hướng về phía trước trong khi giữ tạ còn lại đứng yên."
Alternating_Kettlebell_Press,en,3,Lower the pressed kettlebell to the starting position and immediately press with your other arm.
Alternating_Kettlebell_Press,vi,3,Hạ tạ kettlebell đã ép về vị trí bắt đầu và ngay lập tức ép bằng tay kia.
Alternating_Kettlebell_Row,en,1,Place two kettlebells in front of your feet. Bend your knees slightly and push your butt out as much as possible. As you bend over to get into the starting position grab both kettlebells by the handles.
Alternating_Kettlebell_Row,vi,1,"Đặt hai tạ ấm trước chân. Hơi khuỵu gối và đẩy hông ra sau hết mức có thể. Khi cúi người vào vị trí bắt đầu, nắm chặt tay cầm hai tạ ấm."
Alternating_Kettlebell_Row,en,2,"Pull one kettlebell off of the floor while holding on to the other kettlebell. Retract the shoulder blade of the working side, as you flex the elbow, drawing the kettlebell towards your stomach or rib cage."
Alternating_Kettlebell_Row,vi,2,"Kéo một tạ ấm lên khỏi sàn trong khi giữ tạ ấm còn lại. Rút xương bả vai bên tập, gập khuỷu tay, kéo tạ ấm về phía bụng hoặc lồng ngực."
Alternating_Kettlebell_Row,en,3,Lower the kettlebell in the working arm and repeat with your other arm.
Alternating_Kettlebell_Row,vi,3,Hạ tạ chuông xuống bằng tay đang tập và lặp lại với tay kia.
Alternating_Renegade_Row,en,1,"Place two kettlebells on the floor about shoulder width apart. Position yourself on your toes and your hands as though you were doing a pushup, with the body straight and extended. Use the handles of the kettlebells to support your upper body. You may need to position your feet wide for support."
Alternating_Renegade_Row,vi,1,"Đặt hai tạ ấm rộng bằng vai. Vào tư thế chống đẩy bằng ngón chân và tay, thân người thẳng. Dùng tay cầm tạ ấm để đỡ phần thân trên. Có thể dang rộng chân để đỡ."
Alternating_Renegade_Row,en,2,"Push one kettlebell into the floor and row the other kettlebell, retracting the shoulder blade of the working side as you flex the elbow, pulling it to your side."
Alternating_Renegade_Row,vi,2,"Ấn một tạ chuông xuống sàn và chèo tạ chuông còn lại, rút xương bả vai bên làm việc khi gập khuỷu tay, kéo tạ về phía hông."
Alternating_Renegade_Row,en,3,Then lower the kettlebell to the floor and begin the kettlebell in the opposite hand. Repeat for several reps.
Alternating_Renegade_Row,vi,3,Sau đó hạ tạ ấm xuống sàn và bắt đầu thực hiện với tạ ấm ở tay đối diện. Lặp lại vài lần.
Ankle_Circles,en,1,Use a sturdy object like a squat rack to hold yourself.
Ankle_Circles,vi,1,Dùng vật chắc chắn như khung squat để giữ cơ thể.
Ankle_Circles,en,2,Lift the right leg in the air (just around 2 inches from the floor) and perform a circular motion with the big toe. Pretend that you are drawing a big circle with it. Tip: One circle equals 1 repetition. Breathe normally as you perform the movement.
Ankle_Circles,vi,2,Nhấc chân phải lên (cách sàn khoảng 2 inch) và xoay tròn ngón chân cái. Giả vờ vẽ một vòng tròn lớn. Lưu ý: Một vòng tròn bằng 1 lần lặp. Thở bình thường khi thực hiện động tác.
Ankle_Circles,en,3,"When you are done with the right foot, then repeat with the left leg."
Ankle_Circles,vi,3,"Xong chân phải, lặp lại với chân trái."
Ankle_On_The_Knee,en,1,"From a lying position, bend your knees and keep your feet on the floor."
Ankle_On_The_Knee,vi,1,"Nằm ngửa, gập gối và đặt chân trên sàn."
Ankle_On_The_Knee,en,2,Place your ankle of one foot on your opposite knee.
Ankle_On_The_Knee,vi,2,Đặt mắt cá chân của một bàn chân lên đầu gối đối diện.
Ankle_On_The_Knee,en,3,Grasp the thigh or knee of the bottom leg and pull both of your legs into the chest. Relax your neck and shoulders. Hold for 10-20 seconds and then switch sides.
Ankle_On_The_Knee,vi,3,"Nắm đùi hoặc đầu gối của chân dưới, kéo cả hai chân vào ngực. Thư giãn cổ và vai. Giữ 10-20 giây rồi đổi bên."
Anterior_Tibialis-SMR,en,1,Begin seated on the ground with your legs bent and your feet on the floor.
Anterior_Tibialis-SMR,vi,1,"Bắt đầu ngồi bệt, chân co và bàn chân đặt trên sàn."
Anterior_Tibialis-SMR,en,2,"Using a Muscle Roller or a rolling pin, apply pressure to the muscles on the outside of your shins. Work from just below the knee to above the ankle, pausing at points of tension for 10-30 seconds. Repeat on the other leg."
Anterior_Tibialis-SMR,vi,2,"Dùng con lăn cơ hoặc cây lăn, ấn lên các cơ bên ngoài ống chân. Lăn từ dưới đầu gối lên trên mắt cá chân, dừng lại tại các điểm căng cơ 10-30 giây. Lặp lại với chân kia."
Anti-Gravity_Press,en,1,Place a bar on the ground behind the head of an incline bench.
Anti-Gravity_Press,vi,1,Đặt thanh tạ trên sàn sau đầu ghế dốc.
Anti-Gravity_Press,en,2,"Lay on the bench face down. With a pronated grip, pick the barbell up from the floor. Flex the elbows, performing a reverse curl to bring the bar near your chest. This will be your starting position."
Anti-Gravity_Press,vi,2,"Nằm sấp trên ghế. Dùng tay nắm sấp, nhấc tạ đòn lên khỏi sàn. Gập khuỷu tay, thực hiện động tác cuốn ngược để đưa thanh tạ gần ngực. Đây là vị trí bắt đầu."
Anti-Gravity_Press,en,3,"To begin, press the barbell out in front of your head by extending your elbows. Keep your arms parallel to the ground throughout the movement."
Anti-Gravity_Press,vi,3,Bắt đầu bằng cách đẩy thanh tạ ra trước mặt bằng cách duỗi khuỷu tay. Giữ cánh tay song song với mặt đất trong suốt quá trình tập.
Anti-Gravity_Press,en,4,Return to the starting position and repeat to complete the set.
Anti-Gravity_Press,vi,4,Trở về vị trí ban đầu và lặp lại để hoàn thành hiệp.
Arm_Circles,en,1,Stand up and extend your arms straight out by the sides. The arms should be parallel to the floor and perpendicular (90-degree angle) to your torso. This will be your starting position.
Arm_Circles,vi,1,Đứng thẳng và duỗi thẳng hai tay sang hai bên. Hai tay song song với sàn và vuông góc (90 độ) với thân. Đây là vị trí bắt đầu.
Arm_Circles,en,2,Slowly start to make circles of about 1 foot in diameter with each outstretched arm. Breathe normally as you perform the movement.
Arm_Circles,vi,2,Từ từ xoay mỗi cánh tay dang rộng thành các vòng tròn có đường kính khoảng 1 foot. Hít thở bình thường khi thực hiện động tác.
Arm_Circles,en,3,"Continue the circular motion of the outstretched arms for about ten seconds. Then reverse the movement, going the opposite direction."
Arm_Circles,vi,3,"Tiếp tục xoay vòng tay dang rộng khoảng mười giây. Sau đó, đảo ngược động tác, xoay theo hướng ngược lại."
Arnold_Dumbbell_Press,en,1,Sit on an exercise bench with back support and hold two dumbbells in front of you at about upper chest level with your palms facing your body and your elbows bent. Tip: Your arms should be next to your torso. The starting position should look like the contracted portion of a dumbbell curl.
Arnold_Dumbbell_Press,vi,1,"Ngồi trên ghế tập có tựa lưng, giữ hai tạ đơn trước ngực, lòng bàn tay hướng vào thân người, khuỷu tay cong. Mẹo: Hai cánh tay nên sát thân. Vị trí bắt đầu giống như giai đoạn co cơ của bài cuốn tạ đơn."
Arnold_Dumbbell_Press,en,2,"Now to perform the movement, raise the dumbbells as you rotate the palms of your hands until they are facing forward."
Arnold_Dumbbell_Press,vi,2,"Thực hiện động tác, nâng tạ đơn đồng thời xoay lòng bàn tay hướng về phía trước."
Arnold_Dumbbell_Press,en,3,Continue lifting the dumbbells until your arms are extended above you in straight arm position. Breathe out as you perform this portion of the movement.
Arnold_Dumbbell_Press,vi,3,Tiếp tục nâng tạ đôi cho đến khi cánh tay duỗi thẳng trên đầu. Thở ra khi thực hiện động tác này.
Arnold_Dumbbell_Press,en,4,"After a second pause at the top, begin to lower the dumbbells to the original position by rotating the palms of your hands towards you. Tip: The left arm will be rotated in a counter clockwise manner while the right one will be rotated clockwise. Breathe in as you perform this portion of the movement."
Arnold_Dumbbell_Press,vi,4,"Sau khi tạm dừng lần hai ở đỉnh, bắt đầu hạ tạ về vị trí ban đầu bằng cách xoay lòng bàn tay hướng vào trong. Mẹo: Tay trái xoay ngược chiều kim đồng hồ, tay phải xoay theo chiều kim đồng hồ. Hít vào khi thực hiện phần này của động tác."
Arnold_Dumbbell_Press,en,5,Repeat for the recommended amount of repetitions.
Arnold_Dumbbell_Press,vi,5,Lặp lại số lần lặp lại được đề xuất.
Around_The_Worlds,en,1,"Lay down on a flat bench holding a dumbbell in each hand with the palms of the hands facing towards the ceiling. Tip: Your arms should be parallel to the floor and next to your thighs. To avoid injury, make sure that you keep your elbows slightly bent. This will be your starting position."
Around_The_Worlds,vi,1,"Nằm ngửa trên ghế phẳng, mỗi tay cầm một quả tạ, lòng bàn tay hướng lên trần. Lưu ý: Cánh tay song song với sàn và gần đùi. Giữ khuỷu tay hơi cong để tránh chấn thương. Đây là vị trí bắt đầu."
