recipe_code,name_en,name_vn,instructions_en,instructions_vn
red-peas-soup,Red Peas Soup,Canh đậu đỏ,"Wash and rinse the dried kidney beans.. then cover with water in a deep bowl. Remember as they soak they will expand to at least triple the size they were originally so add a lot of water to the bowl. Soak them overnight or for at least 2 hrs to make the cooking step go quicker. I tossed out the water they were soaked in after it did the job.    Have your butcher cut the salted pigtail into 2 inch pieces as it will be very difficult to cut with an ordinary kitchen knife. Wash, then place a deep pot with water and bring to a boil. Cook for 20 minutes, then drain + rinse and repeat (boil again in water). The goal is to make the pieces of pig tails tender and to remove most of the salt it was cured in.    Time to start the soup. Place everything in the pot (except the flour and potato), then cover with water and place on a high flame to bring to a boil. As it comes to a boil, skim off any scum/froth at the top and discard. Reduce the heat to a gentle boil and allow it to cook for 1 hr and 15 mins.. basically until the beans are tender and start falling apart.    It’s now time to add the potato (and Yams etc if you’re adding it) as well as the coconut milk and continue cooking for 15 minutes.    Now is a good time to start making the basic dough for the spinner dumplings. Mix the flour and water (add a pinch of salt if you want) until you have a soft/smooth dough. allow it to rest for 5 minutes, then pinch of a tablespoon at a time and roll between your hands to form a cigarette shape.    Add them to the pot, stir well and continue cooking for another 15 minutes on a rolling boil.    You’ll notice that I didn’t add any salt to the pot as the remaining salt from the salted pigtails will be enough to properly season this dish. However you can taste and adjust accordingly. Lets recap the timing part of things so you’re not confused. Cook the base of the soup for 1 hr and 15 minute or until tender, then add the potatoes and cook for 15 minutes, then add the dumplings and cook for a further 15 minutes. Keep in mind that this soup will thicken quite a bit as it cools.    While this is not a traditional recipe to any one specific island, versions of this soup (sometimes called stewed peas) can be found throughout the Caribbean, Latin America and Africa. A hearty bowl of this soup will surely give you the sleepies (some may call it ethnic fatigue). You can certainly freeze the leftovers and heat it up another day.","Rửa sạch đậu thận khô, sau đó cho vào tô sâu, đổ nước ngập. Ngâm qua đêm hoặc ít nhất 2 giờ để nấu nhanh hơn. Đổ bỏ nước ngâm.

Nhờ người bán thịt cắt đuôi heo muối thành khúc 5cm vì khó cắt bằng dao thường. Rửa sạch, cho vào nồi sâu đổ nước, đun sôi. Nấu 20 phút, sau đó xả nước, rửa sạch và lặp lại (đun sôi lại với nước). Mục đích là làm đuôi heo mềm và loại bỏ bớt muối ướp.

Bắt đầu nấu súp. Cho tất cả nguyên liệu (trừ bột mì và khoai tây) vào nồi, đổ nước ngập, đun lửa lớn cho sôi. Khi sôi, hớt bọt/váng, bỏ đi. Giảm lửa, đun liu riu khoảng 1 giờ 15 phút, cho đến khi đậu mềm và bắt đầu rã.

Thêm khoai tây (và khoai mỡ nếu dùng) cùng nước cốt dừa, tiếp tục nấu 15 phút.

Bắt đầu nhào bột làm bánh dumpling (spinner dumplings). Trộn bột mì và nước (thêm chút muối nếu muốn) cho đến khi thành khối bột mềm/mịn. Để bột nghỉ 5 phút, sau đó ngắt từng viên khoảng một thìa canh, lăn giữa hai lòng bàn tay tạo hình điếu thuốc.

Cho bánh vào nồi, khuấy đều, tiếp tục đun sôi lăn tăn 15 phút nữa.

Không cần thêm muối vì muối còn lại từ đuôi heo muối đủ để nêm món ăn. Có thể nếm và điều chỉnh cho phù hợp. Tóm tắt thời gian: Nấu nước súp cơ bản 1 giờ 15 phút hoặc đến khi đậu mềm, thêm khoai tây nấu 15 phút, thêm bánh dumpling nấu thêm 15 phút. Súp sẽ đặc lại đáng kể khi nguội."
tandoori-chicken,Tandoori chicken,Gà Tandoori,"Mix the lemon juice with the paprika and red onions in a large shallow dish. Slash each chicken thigh three times, then turn them in the juice and set aside for 10 mins.  Mix all of the marinade ingredients together and pour over the chicken. Give everything a good mix, then cover and chill for at least 1 hr. This can be done up to a day in advance.  Heat the grill. Lift the chicken pieces onto a rack over a baking tray. Brush over a little oil and grill for 8 mins on each side or until lightly charred and completely cooked through.","Trộn nước cốt chanh với bột ớt paprika và hành tây đỏ trong đĩa cạn lớn. Khía mỗi đùi gà ba lần, sau đó đảo đều trong nước cốt và để riêng 10 phút. Trộn tất cả các nguyên liệu ướp lại với nhau và đổ lên gà. Trộn đều, sau đó đậy lại và làm lạnh ít nhất 1 giờ. Có thể chuẩn bị trước một ngày. Làm nóng vỉ nướng. Gắp gà lên giá đặt trên khay nướng. Phết một chút dầu ăn và nướng mỗi mặt 8 phút hoặc cho đến khi hơi cháy xém và chín hoàn toàn."
cashew-ghoriba-biscuits,Cashew Ghoriba Biscuits,Bánh quy hạt điều,"Preheat the oven at 180 C / Gas 4. Line a baking tray with greaseproof paper.  In a bowl, mix the cashews and icing sugar. Add the egg yolks and orange blossom water and mix to a smooth homogeneous paste.  Take lumps of the cashew paste and shape into small balls. Roll the balls in icing sugar and transfer to the baking tray. Push an almond in the centre of each ghribia.  Bake until the biscuits are lightly golden, about 20 minutes. Keep an eye on them, they burn quickly.","Làm nóng lò nướng ở 180°C / Gas 4. Lót giấy nướng lên khay nướng. Trong tô, trộn hạt điều và đường bột. Thêm lòng đỏ trứng và nước hoa cam rồi trộn thành hỗn hợp sệt đồng nhất. Lấy từng viên bột hạt điều, vo thành viên nhỏ. Lăn viên bột qua đường bột và chuyển sang khay nướng. Ấn một hạt hạnh nhân vào giữa mỗi chiếc ghribia. Nướng cho đến khi bánh quy hơi vàng, khoảng 20 phút. Để ý vì bánh dễ cháy."
chocolate-avocado-mousse,Chocolate Avocado Mousse,Mousse Bơ Cacao,"1. Blend all the mousse ingredients together in your food processor until smooth. Add the cacao powder first and, as you blend, have all the ingredients to hand in order to adjust the ratios slightly as the size of avocados and bananas varies so much. The perfect ratio in order to avoid the dish tasting too much of either is to use equal amounts of both.    2. Taste and add a few drops of stevia if you feel you need more sweetness.    3. Fill little cups or shot glasses with the mousse, sprinkle with the cacao powder or nibs and serve.    Tip If you don’t have a frozen banana to hand you can just use a normal one and then chill the mousse before serving for a cooling dessert.","1.  Xay tất cả các nguyên liệu làm mousse trong máy xay thực phẩm cho đến khi mịn. Cho bột cacao vào trước, và trong khi xay, chuẩn bị sẵn các nguyên liệu để điều chỉnh tỷ lệ một chút vì kích cỡ quả bơ và chuối rất khác nhau. Tỷ lệ hoàn hảo để tránh món ăn bị quá vị là dùng lượng bằng nhau của cả hai. 2. Nếm và thêm vài giọt stevia nếu cảm thấy cần thêm vị ngọt. 3. Cho mousse vào các cốc nhỏ hoặc ly shot, rắc bột cacao hoặc hạt cacao đã rang lên và dùng. Mẹo: Nếu không có chuối đông lạnh, bạn có thể dùng chuối thường và làm lạnh mousse trước khi dùng để có món tráng miệng mát lạnh."
corba,Corba,Canh,"Pick through your lentils for any foreign debris, rinse them 2 or 3 times, drain, and set aside.  Fair warning, this will probably turn your lentils into a solid block that you’ll have to break up later  In a large pot over medium-high heat, sauté the olive oil and the onion with a pinch of salt for about 3 minutes, then add the carrots and cook for another 3 minutes.  Add the tomato paste and stir it around for around 1 minute. Now add the cumin, paprika, mint, thyme, black pepper, and red pepper as quickly as you can and stir for 10 seconds to bloom the spices. Congratulate yourself on how amazing your house now smells.  Immediately add the lentils, water, broth, and salt. Bring the soup to a (gentle) boil.  After it has come to a boil, reduce heat to medium-low, cover the pot halfway, and cook for 15-20 minutes or until the lentils have fallen apart and the carrots are completely cooked.  After the soup has cooked and the lentils are tender, blend the soup either in a blender or simply use a hand blender to reach the consistency you desire. Taste for seasoning and add more salt if necessary.  Serve with crushed-up crackers, torn up bread, or something else to add some extra thickness.  You could also use a traditional thickener (like cornstarch or flour), but I prefer to add crackers for some texture and saltiness.  Makes great leftovers, stays good in the fridge for about a week.","Nhặt sạch sạn trong đậu lăng, rửa 2 hoặc 3 lần, để ráo nước và để riêng. Lưu ý: đậu lăng có thể bị vón cục, cần phải bẻ ra sau này. Trong nồi lớn, đun nóng dầu ô liu ở lửa vừa cao, phi thơm hành tây với một nhúm muối khoảng 3 phút, sau đó thêm cà rốt và nấu thêm 3 phút. Thêm tương cà chua và khuấy khoảng 1 phút. Nhanh chóng thêm thì là, ớt bột paprika, bạc hà, cỏ xạ hương, tiêu đen và ớt đỏ, khuấy 10 giây để ""đánh thức"" gia vị (bloom). Ngay lập tức thêm đậu lăng, nước, nước dùng (broth) và muối. Đun súp sôi lăn tăn. Sau khi sôi, giảm lửa xuống vừa nhỏ, đậy hé vung nửa nồi và nấu 15-20 phút hoặc đến khi đậu lăng mềm rã và cà rốt chín hoàn toàn. Sau khi súp chín và đậu lăng mềm, xay súp bằng máy xay sinh tố hoặc máy xay cầm tay để đạt độ sệt mong muốn. Nêm nếm lại và thêm muối nếu cần. Dùng kèm bánh quy giòn nghiền, bánh mì xé vụn, hoặc nguyên liệu khác để tăng độ đặc. Có thể dùng chất làm đặc truyền thống (như bột năng hoặc bột mì), nhưng ưu tiên thêm bánh quy để có thêm kết cấu và vị mặn. Súp có thể bảo quản trong tủ lạnh khoảng một tuần."
beef-banh-mi-bowls-with-sriracha-mayo-carrot--pickled-cucumber,"Beef Banh Mi Bowls with Sriracha Mayo, Carrot & Pickled Cucumber",Bún bò trộn dưa chua sốt Sriracha,"Add'l ingredients: mayonnaise, siracha    1    Place rice in a fine-mesh sieve and rinse until water runs clear. Add to a small pot with 1 cup water (2 cups for 4 servings) and a pinch of salt. Bring to a boil, then cover and reduce heat to low. Cook until rice is tender, 15 minutes. Keep covered off heat for at least 10 minutes or until ready to serve.    2    Meanwhile, wash and dry all produce. Peel and finely chop garlic. Zest and quarter lime (for 4 servings, zest 1 lime and quarter both). Trim and halve cucumber lengthwise; thinly slice crosswise into half-moons. Halve, peel, and medium dice onion. Trim, peel, and grate carrot.    3    In a medium bowl, combine cucumber, juice from half the lime, ¼ tsp sugar (½ tsp for 4 servings), and a pinch of salt. In a small bowl, combine mayonnaise, a pinch of garlic, a squeeze of lime juice, and as much sriracha as you’d like. Season with salt and pepper.    4    Heat a drizzle of oil in a large pan over medium-high heat. Add onion and cook, stirring, until softened, 4-5 minutes. Add beef, remaining garlic, and 2 tsp sugar (4 tsp for 4 servings). Cook, breaking up meat into pieces, until beef is browned and cooked through, 4-5 minutes. Stir in soy sauce. Turn off heat; taste and season with salt and pepper.    5    Fluff rice with a fork; stir in lime zest and 1 TBSP butter. Divide rice between bowls. Arrange beef, grated carrot, and pickled cucumber on top. Top with a squeeze of lime juice. Drizzle with sriracha mayo.","Nguyên liệu bổ sung: Mayonnaise, tương ớt Sriracha. 1. Cho gạo vào rây lưới mịn và vo đến khi nước trong. Cho gạo vào nồi nhỏ với 1 cốc nước (2 cốc cho 4 phần ăn) và một nhúm muối. Đun sôi, sau đó đậy nắp và giảm nhiệt độ xuống thấp. Nấu đến khi cơm chín mềm, 15 phút. Giữ nguyên nồi đậy nắp, tắt bếp trong ít nhất 10 phút hoặc cho đến khi sẵn sàng dùng. 2. Trong lúc chờ, rửa sạch và lau khô tất cả nguyên liệu. Bóc vỏ và băm nhỏ tỏi. Vỏ và cắt chanh thành tư (cho 4 phần ăn, bào vỏ 1 quả chanh và cắt cả hai quả thành tư). Cắt bỏ đầu đuôi, bổ dọc dưa chuột làm đôi; thái lát mỏng ngang thành nửa hình trăng khuyết. Bổ đôi, bóc vỏ và thái hạt lựu vừa hành tây. Cắt bỏ đầu đuôi, bóc vỏ và bào cà rốt. 3. Trong tô vừa, trộn dưa chuột, nước cốt nửa quả chanh, ¼ muỗng cà phê đường (½ muỗng cà phê cho 4 phần ăn) và một nhúm muối. Trong tô nhỏ, trộn mayonnaise, một nhúm tỏi, một chút nước cốt chanh và lượng tương ớt Sriracha tùy thích. Nêm muối và tiêu. 4. Đun một chút dầu trong chảo lớn trên lửa vừa cao. Cho hành tây vào xào, khuấy đều, đến khi mềm, 4-5 phút. Cho thịt bò, tỏi còn lại và 2 muỗng cà phê đường (4 muỗng cà phê cho 4 phần ăn) vào. Xào, dùng dụng cụ để làm tơi thịt bò, đến khi thịt bò chuyển màu nâu và chín hẳn, 4-5 phút. Cho nước tương vào. Tắt bếp; nêm nếm muối và tiêu. 5. Xới cơm bằng nĩa; trộn vỏ chanh bào và 1 muỗng canh bơ. Chia cơm vào các tô. Xếp thịt bò, cà rốt bào và dưa chuột ngâm lên trên. Vắt một chút nước cốt chanh lên trên. Rưới sốt mayonnaise Sriracha."
cinnamon-buns,Cinnamon buns,Bánh cuốn quế,"In a small saucepan heat the butter, milk and salt until the butter is melted. Allow the mixture to cool until it is lukewarm.    In a large bowl, stir together the flours, yeast, cardamom and sugar until combined.    Make a well in the centre and crack in the eggs. Pour in the lukewarm milk mixture and stir everything together to form a sticky dough. You may have to use your hands as the dough becomes stiffer.    Oil the work surface with a teaspoon of olive oil. Turn the dough out onto the oiled surface and knead vigorously for 5–8 minutes, using a plastic scraper as needed to prise the dough from the work surface. Don’t be tempted to add flour, as this will make the buns dry and tough. Keep kneading until the dough is considerably less sticky, smoother and more elastic.    Shape into a ball, and put into a large, greased bowl. Cover the bowl with a clean tea towel and set aside in a warm place to prove for an hour, or until doubled in size.    Meanwhile, for the filling and topping, mix the softened butter in a bowl with half the sugar and 1 tablespoon cinnamon. Use a fork to mix the sugar and spice into the butter until it is completely combined.    Mix the remaining sugar and cinnamon in a separate bowl and set aside.    When the dough has risen, turn out onto a floured work surface and gently roll out into a 36x24cm/14x9½in rectangle. Spread the cinnamon-sugar-butter evenly over the dough with a table or palette knife.    With the longest edge closest to you, roll the dough up into a cylinder. Cut into 12 even slices.    Place each slice onto a flattened out paper cupcake case on a baking tray, or into a greased muffin tin. (Baking in a muffin tin will make your cinnamon buns taller and domed.)    Cover with a clean tea towel and set aside to prove again for 30–45 minutes, or until risen.    Preheat the oven to 200C/180C Fan/Gas 6.    Brush the tops of the buns with beaten egg and dust liberally with the cinnamon sugar. Bake for 12 minutes until the buns are dark golden-brown. Enjoy warm with a cup of coffee.","Trong nồi nhỏ, đun bơ, sữa và muối đến khi bơ tan chảy. Để hỗn hợp nguội đến khi còn ấm. Trong bát lớn, khuấy đều bột mì, men, bạch đậu khấu và đường cho hòa quyện. Tạo một lỗ trũng ở giữa rồi đập trứng vào. Đổ hỗn hợp sữa ấm vào và khuấy mọi thứ để tạo thành khối bột dính. Có thể dùng tay khi bột trở nên cứng hơn. Phết một thìa cà phê dầu ô liu lên mặt bàn. Lấy bột ra và nhào mạnh 5–8 phút, dùng dụng cụ vét bột nhựa khi cần để tách bột ra khỏi mặt bàn. Không thêm bột mì vì sẽ làm bánh khô và dai. Tiếp tục nhào đến khi bột bớt dính đáng kể, mịn hơn và đàn hồi hơn. Vo tròn, đặt vào bát lớn đã thoa dầu. Phủ bát bằng khăn lau sạch và đặt ở nơi ấm áp ủ trong một giờ, hoặc đến khi nở gấp đôi. Trong lúc đó, làm nhân và lớp phủ: trộn bơ mềm trong bát với một nửa lượng đường và 1 thìa canh quế. Dùng nĩa trộn đường và gia vị vào bơ đến khi hòa quyện hoàn toàn. Trộn phần đường và quế còn lại trong bát riêng và để sang một bên. Khi bột đã nở, lấy ra đặt lên mặt bàn đã rắc bột mì và nhẹ nhàng cán thành hình chữ nhật 36x24cm/14x9½in. Phết hỗn hợp bơ-đường-quế đều lên bột bằng dao bàn hoặc dao phết kem. Cuộn bột thành hình trụ, mép dài nhất gần bạn nhất. Cắt thành 12 lát đều nhau. Đặt mỗi lát lên khuôn giấy cupcake đã trải phẳng trên khay nướng, hoặc vào khay nướng bánh muffin đã thoa dầu. (Nướng trong khay bánh muffin sẽ làm bánh quế của bạn cao hơn và tròn hơn.) Phủ khăn lau sạch và để ủ lần nữa trong 30–45 phút, hoặc đến khi nở. Làm nóng lò nướng ở 200C/180C Quạt/Gas 6. Phết trứng đã đánh lên mặt bánh và rắc đường quế lên. Nướng 12 phút đến khi bánh có màu nâu vàng đậm. Thưởng thức khi còn ấm với một tách cà phê."
boulangère-potatoes,Boulangère Potatoes,Khoai tây nướng,"Heat oven to 200C/fan 180C/gas 6. Fry the onions and thyme sprigs in the oil until softened and lightly coloured (about 5 mins).  Spread a layer of potatoes over the base of a 1.5-litre oiled gratin dish. Sprinkle over a few onions (see picture, above) and continue layering, finishing with a layer of potatoes. Pour over the stock and bake for 50-60 mins until the potatoes are cooked and the top is golden and crisp.","Làm nóng lò nướng đến 200C/quạt 180C/gas 6. Phi hành tây và cỏ xạ hương trong dầu cho mềm và hơi chuyển màu (khoảng 5 phút). Trải một lớp khoai tây dưới đáy đĩa gratin đã phết dầu, dung tích 1,5 lít. Rắc một ít hành tây lên trên, tiếp tục xếp lớp và kết thúc bằng một lớp khoai tây. Đổ nước dùng vào và nướng trong 50-60 phút cho đến khi khoai tây chín, mặt trên vàng và giòn."
bakewell-tart,Bakewell tart,Bánh tart mứt hạnh nhân,"To make the pastry, measure the flour into a bowl and rub in the butter with your fingertips until the mixture resembles fine breadcrumbs. Add the water, mixing to form a soft dough.  Roll out the dough on a lightly floured work surface and use to line a 20cm/8in flan tin. Leave in the fridge to chill for 30 minutes.  Preheat the oven to 200C/400F/Gas 6 (180C fan).  Line the pastry case with foil and fill with baking beans. Bake blind for about 15 minutes, then remove the beans and foil and cook for a further five minutes to dry out the base.  For the filing, spread the base of the flan generously with raspberry jam.  Melt the butter in a pan, take off the heat and then stir in the sugar. Add ground almonds, egg and almond extract. Pour into the flan tin and sprinkle over the flaked almonds.  Bake for about 35 minutes. If the almonds seem to be browning too quickly, cover the tart loosely with foil to prevent them burning.","Làm vỏ bánh: Cho bột mì vào tô, dùng đầu ngón tay xoa bơ vào bột đến khi hỗn hợp trông giống vụn bánh mì mịn. Thêm nước, trộn thành khối bột mềm. Cán bột trên mặt phẳng đã rắc bột nhẹ, sau đó lót vào khuôn flan 20cm/8in. Để trong tủ lạnh 30 phút. Làm nóng lò nướng ở 200C/400F/Gas 6 (180C quạt). Lót giấy bạc vào vỏ bánh và đổ đầy đậu nướng. Nướng mù khoảng 15 phút, sau đó lấy đậu và giấy bạc ra, nướng thêm năm phút để đế bánh khô. Làm nhân: Phết mứt mâm xôi dày lên đế bánh. Đun chảy bơ trong chảo, bắc ra khỏi bếp rồi khuấy đường vào. Thêm hạnh nhân xay, trứng và tinh dầu hạnh nhân. Đổ vào khuôn flan và rắc hạnh nhân lát lên trên. Nướng khoảng 35 phút. Nếu hạnh nhân có vẻ nhanh bị cháy nâu, phủ lỏng bánh bằng giấy bạc để tránh bị cháy."
new-york-cheesecake,New York cheesecake,Bánh phô mai New York,"Position an oven shelf in the middle of the oven. Preheat the oven to fan 160C/conventional 180C/gas 4. Line the base of a 23cm springform cake tin with parchment paper. For the crust, melt the butter in a medium pan. Stir in the biscuit crumbs and sugar so the mixture is evenly moistened. Press the mixture into the bottom of the pan and bake for 10 minutes. Cool on a wire rack while preparing the filling.  For the filling, increase the oven temperature to fan 200C/conventional 240C/gas 9. In a table top mixer fitted with the paddle attachment, beat the soft cheese at medium-low speed until creamy, about 2 minutes. With the mixer on low, gradually add the sugar, then the flour and a pinch of salt, scraping down the sides of the bowl and the paddle twice.  Swap the paddle attachment for the whisk. Continue by adding the vanilla, lemon zest and juice. Whisk in the eggs and yolk, one at a time, scraping the bowl and whisk at least twice. Stir the 284ml carton of soured cream until smooth, then measure 200ml/7fl oz (just over 3⁄4 of the carton). Continue on low speed as you add the measured soured cream (reserve the rest). Whisk to blend, but don't over-beat. The batter should be smooth, light and somewhat airy.  Brush the sides of the springform tin with melted butter and put on a baking sheet. Pour in the filling - if there are any lumps, sink them using a knife - the top should be as smooth as possible. Bake for 10 minutes. Reduce oven temperature to fan 90C/conventional 110C/gas 1⁄4 and bake for 25 minutes more. If you gently shake the tin, the filling should have a slight wobble. Turn off the oven and open the oven door for a cheesecake that's creamy in the centre, or leave it closed if you prefer a drier texture. Let cool in the oven for 2 hours. The cheesecake may get a slight crack on top as it cools.  Combine the reserved soured cream with the 142ml carton, the sugar and lemon juice for the topping. Spread over the cheesecake right to the edges. Cover loosely with foil and refrigerate for at least 8 hours or overnight.  Run a round-bladed knife around the sides of the tin to loosen any stuck edges. Unlock the side, slide the cheesecake off the bottom of the tin onto a plate, then slide the parchment paper out from underneath.","Đặt giá lò nướng ở giữa. Làm nóng lò nướng ở chế độ quạt 160°C/thường 180°C/gas 4. Lót đáy khuôn bánh đế rời 23cm bằng giấy nến.

Phần vỏ: Đun chảy bơ trong chảo vừa. Khuấy vụn bánh quy và đường cho hỗn hợp thấm đều. Ép hỗn hợp xuống đáy khuôn và nướng 10 phút. Để nguội trên giá lưới trong khi chuẩn bị nhân.

Phần nhân: Tăng nhiệt độ lò nướng lên quạt 200°C/thường 240°C/gas 9. Dùng máy đánh trứng để bàn lắp cánh mái chèo, đánh phô mai mềm ở tốc độ trung bình thấp cho đến khi mịn, khoảng 2 phút. Trong khi máy chạy ở tốc độ thấp, từ từ thêm đường, sau đó là bột mì và một nhúm muối, cạo thành tô và cánh mái chèo hai lần. Thay cánh mái chèo bằng lồng đánh trứng. Tiếp tục thêm vani, vỏ chanh và nước cốt chanh. Đánh trứng và lòng đỏ trứng, mỗi lần một quả, cạo tô và lồng đánh trứng ít nhất hai lần. Khuấy hộp kem chua 284ml cho đến khi mịn, sau đó đong 200ml/7fl oz (chỉ hơn 3/4 hộp). Tiếp tục ở tốc độ thấp khi thêm kem chua đã đong (giữ lại phần còn lại). Đánh cho hòa quyện, nhưng không đánh quá lâu. Bột bánh phải mịn, nhẹ và hơi xốp. Quét bơ tan chảy lên thành khuôn lò xo và đặt lên khay nướng. Đổ nhân vào - nếu có bất kỳ cục nào, dùng dao làm cho chúng chìm xuống - bề mặt nên càng mịn càng tốt. Nướng 10 phút. Giảm nhiệt độ lò nướng xuống quạt 90°C/thường 110°C/gas 1/4 và nướng thêm 25 phút nữa. Nếu lắc nhẹ khuôn, nhân bánh phải hơi rung. Tắt lò nướng và mở cửa lò để có bánh phô mai kem ở giữa, hoặc để đóng nếu thích kết cấu khô hơn. Để nguội trong lò 2 giờ. Bánh phô mai có thể bị nứt nhẹ trên bề mặt khi nguội.

Phần lớp phủ: Kết hợp kem chua còn lại với hộp 142ml, đường và nước cốt chanh. Phết đều lên bánh phô mai, sát mép. Đậy lỏng bằng giấy bạc và để trong tủ lạnh ít nhất 8 giờ hoặc qua đêm. Dùng dao cùn chạy quanh thành khuôn để làm lỏng các mép bị dính. Mở khóa bên, trượt bánh phô mai ra khỏi đáy khuôn lên đĩa, sau đó trượt giấy nến ra."
beef-dumpling-stew,Beef Dumpling Stew,Bò kho,"Preheat the oven to 180C/350F/Gas 4.    For the beef stew, heat the oil and butter in an ovenproof casserole and fry the beef until browned on all sides.    Sprinkle over the flour and cook for a further 2-3 minutes.    Add the garlic and all the vegetables and fry for 1-2 minutes.    Stir in the wine, stock and herbs, then add the Worcestershire sauce and balsamic vinegar, to taste. Season with salt and freshly ground black pepper.    Cover with a lid, transfer to the oven and cook for about two hours, or until the meat is tender.    For the dumplings, sift the flour, baking powder and salt into a bowl.  Add the suet and enough water to form a thick dough.    With floured hands, roll spoonfuls of the dough into small balls.    After two hours, remove the lid from the stew and place the balls on top of the stew. Cover, return to the oven and cook for a further 20 minutes, or until the dumplings have swollen and are tender. (If you prefer your dumplings with a golden top, leave the lid off when returning to the oven.)    To serve, place a spoonful of mashed potato onto each of four serving plates and top with the stew and dumplings. Sprinkle with chopped parsley.","Làm nóng lò nướng ở 180°C/350°F/Gas 4.
Đối với món thịt bò hầm: Làm nóng dầu và bơ trong nồi hầm dùng được cho lò nướng, áp chảo thịt bò cho đến khi vàng đều các mặt.
Rắc bột mì lên và nấu thêm 2-3 phút.
Thêm tỏi và tất cả các loại rau củ, xào 1-2 phút.
Khuấy rượu vang, nước dùng (stock) và rau thơm, sau đó thêm nước sốt Worcestershire và giấm balsamic cho vừa ăn. Nêm muối và tiêu đen xay.
Đậy nắp, cho vào lò và nấu khoảng hai giờ, hoặc cho đến khi thịt mềm.
Đối với bánh bao (dumplings): Rây bột mì, bột nở (baking powder) và muối vào tô. Thêm mỡ thận (suet) và đủ nước để tạo thành một khối bột đặc.
Với tay đã rắc bột, cuộn từng muỗng bột thành các viên nhỏ.
Sau hai giờ, bỏ nắp nồi hầm và đặt các viên bột lên trên món hầm. Đậy nắp, cho lại vào lò và nấu thêm 20 phút, hoặc cho đến khi bánh bao nở và mềm. (Nếu muốn bánh bao vàng mặt, để hở nắp khi cho lại vào lò.)
Khi dùng: Đặt một muỗng khoai tây nghiền lên mỗi đĩa trong bốn đĩa phục vụ, sau đó múc thịt hầm và bánh bao lên trên. Rắc ngò tây (parsley) thái nhỏ."
zemiakové-placky,Zemiakové Placky,Bánh khoai tây,"1. Prepare the Potatoes  Start by peeling and finely grating the potatoes. To ensure extra crispiness, use a clean kitchen towel to squeeze out as much moisture as possible.    2. Mix the Ingredients  In a large mixing bowl, combine the grated potatoes, chopped onion, minced garlic, eggs, flour, marjoram, salt, and black pepper. Stir well until the mixture forms a thick, consistent batter.    3. Heat the Oil  In a large frying pan, heat a generous amount of oil over medium heat. The oil should be hot but not smoking.    4. Fry the Pancakes  Spoon portions of the batter into the pan, flattening each into a thin pancake. Fry until golden brown and crispy on one side, then flip and cook the other side until equally golden and crispy.    5. Drain & Serve  Transfer the cooked pancakes onto a plate lined with paper towels to remove excess oil. Serve immediately while hot, with sour cream, garlic dip, or as a side dish.","1.  Chuẩn bị khoai tây
    Gọt vỏ và nạo khoai tây thật nhuyễn. Dùng khăn sạch vắt kiệt nước để khoai giòn hơn.
2.  Trộn nguyên liệu
    Trộn khoai tây nạo, hành tây thái nhỏ, tỏi băm, trứng, bột mì, kinh giới, muối và tiêu đen trong tô lớn. Khuấy đều thành hỗn hợp sệt đồng nhất.
3.  Làm nóng dầu
    Đun nóng nhiều dầu trong chảo lớn trên lửa vừa. Dầu phải nóng nhưng không bốc khói.
4.  Rán bánh
    Múc từng phần hỗn hợp vào chảo, dàn mỏng thành bánh. Rán cho đến khi vàng giòn một mặt, lật lại và rán mặt còn lại cho đến khi vàng giòn tương tự.
5.  Vớt ra và Dùng
    Chuyển bánh đã rán ra đĩa lót giấy thấm dầu. Dùng ngay khi còn nóng với kem chua, sốt tỏi, hoặc ăn kèm."
rømmegrøt--norwegian-sour-cream-porridge,Rømmegrøt – Norwegian Sour Cream Porridge,Cháo kem chua Na Uy,"▢  Cook the sour cream in a covered saucepan on medium heat for about 5 minutes.  ▢  Turn down the heat and add half of the flour and stir well with a whisk. Once the flour is fully incorporated, let the mixture continue to cook, stirring occasionally, until fat starts to release. Use a spoon to gather as much of the fat as you can in a small bowl, saving for later. (Don't worry if you can't get any fat – in that case you can add butter later.)  ▢  Whisk in the rest of the flour and then slowly add the milk, whisking constantly to avoid lumps. Let the porridge continue to cook on low heat for 5 minutes and then add salt.  ▢  Serve with sugar, cinnamon, and the fat from the porridge. If you're using lower fat sour cream you can top the rømmegrøt with some butter instead.","Nấu kem chua (sour cream) trong nồi có nắp đậy ở lửa vừa khoảng 5 phút. Giảm lửa, thêm một nửa số bột mì và khuấy đều bằng phới lồng. Sau khi bột mì đã hòa quyện hoàn toàn, tiếp tục nấu, thỉnh thoảng khuấy, cho đến khi chất béo bắt đầu tiết ra. Dùng muỗng vét càng nhiều chất béo càng tốt vào một bát nhỏ, để dành dùng sau. (Đừng lo lắng nếu không vét được chất béo — trong trường hợp đó bạn có thể thêm bơ sau.) Cho phần bột mì còn lại vào và từ từ thêm sữa, vừa cho vừa khuấy liên tục để tránh vón cục. Tiếp tục nấu cháo ở lửa nhỏ trong 5 phút rồi thêm muối. Dùng với đường, quế, và chất béo đã vét từ cháo. Nếu dùng kem chua ít béo hơn, bạn có thể cho thêm một chút bơ lên trên món rømmegrøt."
