exercise_slug,muscle
Dumbbell_Lying_One-Arm_Rear_Lateral_Raise,shoulders
Dumbbell_Lying_Pronation,forearms
Dumbbell_Lying_Rear_Lateral_Raise,shoulders
Dumbbell_Lying_Supination,forearms
Dumbbell_One-Arm_Shoulder_Press,shoulders
Dumbbell_One-Arm_Triceps_Extension,triceps
Dumbbell_One-Arm_Upright_Row,shoulders
Dumbbell_Prone_Incline_Curl,biceps
Dumbbell_Raise,shoulders
Dumbbell_Rear_Lunge,quadriceps
Dumbbell_Scaption,shoulders
Dumbbell_Seated_Box_Jump,quadriceps
Dumbbell_Seated_One-Leg_Calf_Raise,calves
Dumbbell_Shoulder_Press,shoulders
Dumbbell_Shrug,traps
Dumbbell_Side_Bend,abdominals
Dumbbell_Squat,quadriceps
Dumbbell_Squat_To_A_Bench,quadriceps
Dumbbell_Step_Ups,quadriceps
Dumbbell_Tricep_Extension_-Pronated_Grip,triceps
Dynamic_Back_Stretch,lats
Dynamic_Chest_Stretch,chest
EZ-Bar_Curl,biceps
EZ-Bar_Skullcrusher,triceps
Elbow_Circles,shoulders
Elbow_to_Knee,abdominals
Elbows_Back,chest
Elevated_Back_Lunge,quadriceps
Elevated_Cable_Rows,lats
Elliptical_Trainer,quadriceps
Exercise_Ball_Crunch,abdominals
Exercise_Ball_Pull-In,abdominals
Extended_Range_One-Arm_Kettlebell_Floor_Press,chest
External_Rotation,shoulders
External_Rotation_with_Band,shoulders
External_Rotation_with_Cable,shoulders
Face_Pull,shoulders
Farmers_Walk,forearms
Fast_Skipping,quadriceps
Finger_Curls,forearms
Flat_Bench_Cable_Flyes,chest
Flat_Bench_Leg_Pull-In,abdominals
Flat_Bench_Lying_Leg_Raise,abdominals
Flexor_Incline_Dumbbell_Curls,biceps
Floor_Glute-Ham_Raise,hamstrings
Floor_Press,triceps
Floor_Press_with_Chains,triceps
Flutter_Kicks,glutes
Foot-SMR,calves
Forward_Drag_with_Press,chest
Frankenstein_Squat,quadriceps
Freehand_Jump_Squat,quadriceps
Frog_Hops,quadriceps
Frog_Sit-Ups,abdominals
Front_Barbell_Squat,quadriceps
Front_Barbell_Squat_To_A_Bench,quadriceps
Front_Box_Jump,hamstrings
Front_Cable_Raise,shoulders
Front_Cone_Hops_or_hurdle_hops,quadriceps
Front_Dumbbell_Raise,shoulders
Front_Incline_Dumbbell_Raise,shoulders
Front_Leg_Raises,hamstrings
Front_Plate_Raise,shoulders
Front_Raise_And_Pullover,chest
Front_Squat_Clean_Grip,quadriceps
Front_Squats_With_Two_Kettlebells,quadriceps
Front_Two-Dumbbell_Raise,shoulders
Full_Range-Of-Motion_Lat_Pulldown,lats
Gironda_Sternum_Chins,lats
Glute_Ham_Raise,hamstrings
Glute_Kickback,glutes
Goblet_Squat,quadriceps
Good_Morning,hamstrings
Good_Morning_off_Pins,hamstrings
Gorilla_Chin_Crunch,abdominals
Groin_and_Back_Stretch,adductors
Groiners,adductors
Hack_Squat,quadriceps
Hammer_Curls,biceps
Hammer_Grip_Incline_DB_Bench_Press,chest
Hamstring-SMR,hamstrings
Hamstring_Stretch,hamstrings
Handstand_Push-Ups,shoulders
Hang_Clean,quadriceps
Hang_Clean_-_Below_the_Knees,quadriceps
Hang_Snatch,hamstrings
Hang_Snatch_-_Below_Knees,hamstrings
Hanging_Bar_Good_Morning,hamstrings
Hanging_Leg_Raise,abdominals
Hanging_Pike,abdominals
Heaving_Snatch_Balance,quadriceps
Heavy_Bag_Thrust,chest
High_Cable_Curls,biceps
Hip_Circles_prone,abductors
Hip_Extension_with_Bands,glutes
Hip_Flexion_with_Band,quadriceps
Hip_Lift_with_Band,glutes
Hug_A_Ball,lower back
Hug_Knees_To_Chest,lower back
Hurdle_Hops,hamstrings
Hyperextensions_Back_Extensions,lower back
Hyperextensions_With_No_Hyperextension_Bench,lower back
IT_Band_and_Glute_Stretch,abductors
Iliotibial_Tract-SMR,abductors
Inchworm,hamstrings
Incline_Barbell_Triceps_Extension,triceps
Incline_Bench_Pull,middle back
Incline_Cable_Chest_Press,chest
Incline_Cable_Flye,chest
Incline_Dumbbell_Bench_With_Palms_Facing_In,chest
Incline_Dumbbell_Curl,biceps
Incline_Dumbbell_Flyes,chest
Incline_Dumbbell_Flyes_-_With_A_Twist,chest
Incline_Dumbbell_Press,chest
Incline_Hammer_Curls,biceps
Incline_Inner_Biceps_Curl,biceps
Incline_Push-Up,chest
Incline_Push-Up_Close-Grip,triceps
Incline_Push-Up_Depth_Jump,chest
Incline_Push-Up_Medium,chest
Incline_Push-Up_Reverse_Grip,chest
Incline_Push-Up_Wide,chest
Intermediate_Groin_Stretch,hamstrings
Intermediate_Hip_Flexor_and_Quad_Stretch,quadriceps
Internal_Rotation_with_Band,shoulders
Inverted_Row,middle back
Inverted_Row_with_Straps,middle back
Iron_Cross,shoulders
Iron_Crosses_stretch,quadriceps
Isometric_Chest_Squeezes,chest
Isometric_Neck_Exercise_-_Front_And_Back,neck
Isometric_Neck_Exercise_-_Sides,neck
Isometric_Wipers,chest
JM_Press,triceps
Jackknife_Sit-Up,abdominals
Janda_Sit-Up,abdominals
Jefferson_Squats,quadriceps
Jerk_Balance,shoulders
Jerk_Dip_Squat,quadriceps
Jogging_Treadmill,quadriceps
Keg_Load,lower back
Kettlebell_Arnold_Press,shoulders
Kettlebell_Dead_Clean,hamstrings
Kettlebell_Figure_8,abdominals
Kettlebell_Hang_Clean,hamstrings
Kettlebell_One-Legged_Deadlift,hamstrings
Kettlebell_Pass_Between_The_Legs,abdominals
Kettlebell_Pirate_Ships,shoulders
Kettlebell_Pistol_Squat,quadriceps
Kettlebell_Seated_Press,shoulders
Kettlebell_Seesaw_Press,shoulders
Kettlebell_Sumo_High_Pull,traps
Kettlebell_Thruster,shoulders
Kettlebell_Turkish_Get-Up_Lunge_style,shoulders
Kettlebell_Turkish_Get-Up_Squat_style,shoulders
Kettlebell_Windmill,abdominals
Kipping_Muscle_Up,lats
Knee_Across_The_Body,glutes
Knee_Circles,calves
Knee_Hip_Raise_On_Parallel_Bars,abdominals
Knee_Tuck_Jump,hamstrings
Kneeling_Arm_Drill,shoulders
Kneeling_Cable_Crunch_With_Alternating_Oblique_Twists,abdominals
Kneeling_Cable_Triceps_Extension,triceps
Kneeling_Forearm_Stretch,forearms
Kneeling_High_Pulley_Row,lats
Kneeling_Hip_Flexor,quadriceps
Kneeling_Jump_Squat,glutes
Kneeling_Single-Arm_High_Pulley_Row,lats
Kneeling_Squat,glutes
Landmine_180s,abdominals
Landmine_Linear_Jammer,shoulders
Lateral_Bound,adductors
Lateral_Box_Jump,adductors
Lateral_Cone_Hops,adductors
Lateral_Raise_-_With_Bands,shoulders
Latissimus_Dorsi-SMR,lats
Leg-Over_Floor_Press,chest
Leg-Up_Hamstring_Stretch,hamstrings
Leg_Extensions,quadriceps
Leg_Lift,glutes
Leg_Press,quadriceps
Leg_Pull-In,abdominals
Leverage_Chest_Press,chest
Leverage_Deadlift,quadriceps
Leverage_Decline_Chest_Press,chest
Leverage_High_Row,middle back
Leverage_Incline_Chest_Press,chest
Leverage_Iso_Row,lats
Leverage_Shoulder_Press,shoulders
Leverage_Shrug,traps
Linear_3-Part_Start_Technique,hamstrings
Linear_Acceleration_Wall_Drill,hamstrings
Linear_Depth_Jump,quadriceps
Log_Lift,shoulders
London_Bridges,lats
Looking_At_Ceiling,quadriceps
Low_Cable_Crossover,chest
Low_Cable_Triceps_Extension,triceps
Low_Pulley_Row_To_Neck,shoulders
Lower_Back-SMR,lower back
Lower_Back_Curl,abdominals
Lunge_Pass_Through,hamstrings
Lunge_Sprint,quadriceps
Lying_Bent_Leg_Groin,adductors
Lying_Cable_Curl,biceps
Lying_Cambered_Barbell_Row,middle back
Lying_Close-Grip_Bar_Curl_On_High_Pulley,biceps
Lying_Close-Grip_Barbell_Triceps_Extension_Behind_The_Head,triceps
Lying_Close-Grip_Barbell_Triceps_Press_To_Chin,triceps
Lying_Crossover,abductors
Lying_Dumbbell_Tricep_Extension,triceps
Lying_Face_Down_Plate_Neck_Resistance,neck
Lying_Face_Up_Plate_Neck_Resistance,neck
Lying_Glute,glutes
Lying_Hamstring,hamstrings
Lying_High_Bench_Barbell_Curl,biceps
Lying_Leg_Curls,hamstrings
Lying_Machine_Squat,quadriceps
Lying_One-Arm_Lateral_Raise,shoulders
Lying_Prone_Quadriceps,quadriceps
Lying_Rear_Delt_Raise,shoulders
Lying_Supine_Dumbbell_Curl,biceps
Lying_T-Bar_Row,middle back
Lying_Triceps_Press,triceps
Machine_Bench_Press,chest
Machine_Bicep_Curl,biceps
Machine_Preacher_Curls,biceps
Machine_Shoulder_Military_Press,shoulders
Machine_Triceps_Extension,triceps
Medicine_Ball_Chest_Pass,chest
Medicine_Ball_Full_Twist,abdominals
Medicine_Ball_Scoop_Throw,shoulders
Middle_Back_Shrug,middle back
Middle_Back_Stretch,middle back
Mixed_Grip_Chin,middle back
Monster_Walk,abductors
Mountain_Climbers,quadriceps
Moving_Claw_Series,hamstrings
Muscle_Snatch,hamstrings
Muscle_Up,lats
Narrow_Stance_Hack_Squats,quadriceps
Narrow_Stance_Leg_Press,quadriceps
Narrow_Stance_Squats,quadriceps
Natural_Glute_Ham_Raise,hamstrings
Neck-SMR,neck
Neck_Press,chest
Oblique_Crunches,abdominals
Oblique_Crunches_-_On_The_Floor,abdominals
Olympic_Squat,quadriceps
On-Your-Back_Quad_Stretch,quadriceps
On_Your_Side_Quad_Stretch,quadriceps
One-Arm_Dumbbell_Row,middle back
One-Arm_Flat_Bench_Dumbbell_Flye,chest
One-Arm_High-Pulley_Cable_Side_Bends,abdominals
One-Arm_Incline_Lateral_Raise,shoulders
One-Arm_Kettlebell_Clean,hamstrings
One-Arm_Kettlebell_Clean_and_Jerk,shoulders
One-Arm_Kettlebell_Floor_Press,chest
One-Arm_Kettlebell_Jerk,shoulders
One-Arm_Kettlebell_Military_Press_To_The_Side,shoulders
One-Arm_Kettlebell_Para_Press,shoulders
One-Arm_Kettlebell_Push_Press,shoulders
One-Arm_Kettlebell_Row,middle back
One-Arm_Kettlebell_Snatch,shoulders
One-Arm_Kettlebell_Split_Jerk,shoulders
One-Arm_Kettlebell_Split_Snatch,shoulders
One-Arm_Kettlebell_Swings,hamstrings
One-Arm_Long_Bar_Row,middle back
One-Arm_Medicine_Ball_Slam,abdominals
One-Arm_Open_Palm_Kettlebell_Clean,hamstrings
One-Arm_Overhead_Kettlebell_Squats,quadriceps
One-Arm_Side_Deadlift,quadriceps
One-Arm_Side_Laterals,shoulders
One-Legged_Cable_Kickback,glutes
One_Arm_Against_Wall,lats
One_Arm_Chin-Up,middle back
One_Arm_Dumbbell_Bench_Press,chest
One_Arm_Dumbbell_Preacher_Curl,biceps
One_Arm_Floor_Press,triceps
One_Arm_Lat_Pulldown,lats
One_Arm_Pronated_Dumbbell_Triceps_Extension,triceps
One_Arm_Supinated_Dumbbell_Triceps_Extension,triceps
One_Half_Locust,quadriceps
One_Handed_Hang,lats
One_Knee_To_Chest,glutes
One_Leg_Barbell_Squat,quadriceps
Open_Palm_Kettlebell_Clean,hamstrings
Otis-Up,abdominals
Overhead_Cable_Curl,biceps
Overhead_Lat,lats
Overhead_Slam,lats
Overhead_Squat,quadriceps
Overhead_Stretch,abdominals
Overhead_Triceps,triceps
Pallof_Press,abdominals
Pallof_Press_With_Rotation,abdominals
Palms-Down_Dumbbell_Wrist_Curl_Over_A_Bench,forearms
Palms-Down_Wrist_Curl_Over_A_Bench,forearms
Palms-Up_Barbell_Wrist_Curl_Over_A_Bench,forearms
Palms-Up_Dumbbell_Wrist_Curl_Over_A_Bench,forearms
Parallel_Bar_Dip,triceps
Pelvic_Tilt_Into_Bridge,lower back
Peroneals-SMR,calves
Peroneals_Stretch,calves
Physioball_Hip_Bridge,glutes
Pin_Presses,triceps
Piriformis-SMR,glutes
Plank,abdominals
Plate_Pinch,forearms
Plate_Twist,abdominals
Platform_Hamstring_Slides,hamstrings
Plie_Dumbbell_Squat,quadriceps
Plyo_Kettlebell_Pushups,chest
Plyo_Push-up,chest
Posterior_Tibialis_Stretch,calves
Power_Clean,hamstrings
Power_Clean_from_Blocks,hamstrings
Power_Jerk,quadriceps
Power_Partials,shoulders
Power_Snatch,hamstrings
Power_Snatch_from_Blocks,quadriceps
Power_Stairs,hamstrings
Preacher_Curl,biceps
Preacher_Hammer_Dumbbell_Curl,biceps
Press_Sit-Up,abdominals
Prone_Manual_Hamstring,hamstrings
Prowler_Sprint,hamstrings
Pull_Through,glutes
Pullups,lats
Push-Up_Wide,chest
Push-Ups_-_Close_Triceps_Position,triceps
Push-Ups_With_Feet_Elevated,chest
Push-Ups_With_Feet_On_An_Exercise_Ball,chest
Push_Press,shoulders
Push_Press_-_Behind_the_Neck,shoulders
Push_Up_to_Side_Plank,chest
Pushups,chest
Pushups_Close_and_Wide_Hand_Positions,chest
Pyramid,lower back
Quad_Stretch,quadriceps
Quadriceps-SMR,quadriceps
Quick_Leap,quadriceps
Rack_Delivery,shoulders
Rack_Pull_with_Bands,lower back
Rack_Pulls,lower back
Rear_Leg_Raises,quadriceps
Recumbent_Bike,quadriceps
Return_Push_from_Stance,shoulders
Reverse_Band_Bench_Press,triceps
Reverse_Band_Box_Squat,quadriceps
Reverse_Band_Deadlift,lower back
Reverse_Band_Power_Squat,quadriceps
Reverse_Band_Sumo_Deadlift,hamstrings
Reverse_Barbell_Curl,biceps
Reverse_Barbell_Preacher_Curls,biceps
Reverse_Cable_Curl,biceps
Reverse_Crunch,abdominals
Reverse_Flyes,shoulders
Reverse_Flyes_With_External_Rotation,shoulders
Reverse_Grip_Bent-Over_Rows,middle back
Reverse_Grip_Triceps_Pushdown,triceps
Reverse_Hyperextension,hamstrings
Reverse_Machine_Flyes,shoulders
Reverse_Plate_Curls,biceps
Reverse_Triceps_Bench_Press,triceps
Rhomboids-SMR,middle back
Rickshaw_Carry,forearms
Rickshaw_Deadlift,quadriceps
Ring_Dips,triceps
Rocket_Jump,quadriceps
Rocking_Standing_Calf_Raise,calves
Rocky_Pull-Ups_Pulldowns,lats
Romanian_Deadlift,hamstrings
Romanian_Deadlift_from_Deficit,hamstrings
Rope_Climb,lats
Rope_Crunch,abdominals
Rope_Jumping,quadriceps
Rope_Straight-Arm_Pulldown,lats
Round_The_World_Shoulder_Stretch,shoulders
Rowing_Stationary,quadriceps
Runners_Stretch,hamstrings
Running_Treadmill,quadriceps
Russian_Twist,abdominals
Sandbag_Load,quadriceps
Scapular_Pull-Up,traps
Scissor_Kick,abdominals
Scissors_Jump,quadriceps
Seated_Band_Hamstring_Curl,hamstrings
Seated_Barbell_Military_Press,shoulders
Seated_Barbell_Twist,abdominals
Seated_Bent-Over_One-Arm_Dumbbell_Triceps_Extension,triceps
Seated_Bent-Over_Rear_Delt_Raise,shoulders
Seated_Bent-Over_Two-Arm_Dumbbell_Triceps_Extension,triceps
Seated_Biceps,biceps
Seated_Cable_Rows,middle back
Seated_Cable_Shoulder_Press,shoulders
Seated_Calf_Raise,calves
Seated_Calf_Stretch,calves
Seated_Close-Grip_Concentration_Barbell_Curl,biceps
Seated_Dumbbell_Curl,biceps
Seated_Dumbbell_Inner_Biceps_Curl,biceps
Seated_Dumbbell_Palms-Down_Wrist_Curl,forearms
Seated_Dumbbell_Palms-Up_Wrist_Curl,forearms
Seated_Dumbbell_Press,shoulders
Seated_Flat_Bench_Leg_Pull-In,abdominals
Seated_Floor_Hamstring_Stretch,hamstrings
Seated_Front_Deltoid,shoulders
Seated_Glute,glutes
Seated_Good_Mornings,lower back
Seated_Hamstring,hamstrings
Seated_Hamstring_and_Calf_Stretch,hamstrings
Seated_Head_Harness_Neck_Resistance,neck
Seated_Leg_Curl,hamstrings
Seated_Leg_Tucks,abdominals
Seated_One-Arm_Dumbbell_Palms-Down_Wrist_Curl,forearms
Seated_One-Arm_Dumbbell_Palms-Up_Wrist_Curl,forearms
Seated_One-arm_Cable_Pulley_Rows,middle back
Seated_Overhead_Stretch,abdominals
Seated_Palm-Up_Barbell_Wrist_Curl,forearms
Seated_Palms-Down_Barbell_Wrist_Curl,forearms
Seated_Side_Lateral_Raise,shoulders
Seated_Triceps_Press,triceps
Seated_Two-Arm_Palms-Up_Low-Pulley_Wrist_Curl,forearms
See-Saw_Press_Alternating_Side_Press,shoulders
Shotgun_Row,lats
Shoulder_Circles,shoulders
Shoulder_Press_-_With_Bands,shoulders
Shoulder_Raise,shoulders
Shoulder_Stretch,shoulders
Side-Lying_Floor_Stretch,lats
Side_Bridge,abdominals
Side_Hop-Sprint,quadriceps
Side_Jackknife,abdominals
Side_Lateral_Raise,shoulders
Side_Laterals_to_Front_Raise,shoulders
Side_Leg_Raises,adductors
Side_Lying_Groin_Stretch,adductors
Side_Neck_Stretch,neck
Side_Standing_Long_Jump,quadriceps
Side_To_Side_Chins,lats
Side_Wrist_Pull,shoulders
Side_to_Side_Box_Shuffle,quadriceps
Single-Arm_Cable_Crossover,chest
Single-Arm_Linear_Jammer,shoulders
Single-Arm_Push-Up,chest
Single-Cone_Sprint_Drill,quadriceps
Single-Leg_High_Box_Squat,quadriceps
Single-Leg_Hop_Progression,quadriceps
Single-Leg_Lateral_Hop,quadriceps
Single-Leg_Leg_Extension,quadriceps
Single-Leg_Stride_Jump,quadriceps
Single_Dumbbell_Raise,shoulders
Single_Leg_Butt_Kick,quadriceps
Single_Leg_Glute_Bridge,glutes
Single_Leg_Push-off,quadriceps
Sit-Up,abdominals
Sit_Squats,quadriceps
Skating,quadriceps
Sled_Drag_-_Harness,quadriceps
Sled_Overhead_Backward_Walk,shoulders
Sled_Overhead_Triceps_Extension,triceps
Sled_Push,quadriceps
Sled_Reverse_Flye,shoulders
Sled_Row,middle back
Sledgehammer_Swings,abdominals
Smith_Incline_Shoulder_Raise,shoulders
Smith_Machine_Behind_the_Back_Shrug,traps
Smith_Machine_Bench_Press,chest
Smith_Machine_Bent_Over_Row,middle back
Smith_Machine_Calf_Raise,calves
Smith_Machine_Close-Grip_Bench_Press,triceps
Smith_Machine_Decline_Press,chest
Smith_Machine_Hang_Power_Clean,hamstrings
Smith_Machine_Hip_Raise,abdominals
Smith_Machine_Incline_Bench_Press,chest
Smith_Machine_Leg_Press,quadriceps
Smith_Machine_One-Arm_Upright_Row,shoulders
Smith_Machine_Overhead_Shoulder_Press,shoulders
Smith_Machine_Pistol_Squat,quadriceps
Smith_Machine_Reverse_Calf_Raises,calves
Smith_Machine_Squat,quadriceps
Smith_Machine_Stiff-Legged_Deadlift,hamstrings
Smith_Machine_Upright_Row,traps
Smith_Single-Leg_Split_Squat,quadriceps
Snatch,quadriceps
Snatch_Balance,quadriceps
Snatch_Deadlift,hamstrings
Snatch_Pull,hamstrings
Snatch_Shrug,traps
Snatch_from_Blocks,quadriceps
Speed_Band_Overhead_Triceps,triceps
Speed_Box_Squat,quadriceps
Speed_Squats,quadriceps
Spell_Caster,abdominals
Spider_Crawl,abdominals
Spider_Curl,biceps
Spinal_Stretch,middle back
Split_Clean,quadriceps
Split_Jerk,quadriceps
Split_Jump,quadriceps
Split_Snatch,hamstrings
Split_Squat_with_Dumbbells,quadriceps
Split_Squats,hamstrings
Squat_Jerk,quadriceps
Squat_with_Bands,quadriceps
Squat_with_Chains,quadriceps
Squat_with_Plate_Movers,quadriceps
Squats_-_With_Bands,quadriceps
Stairmaster,quadriceps
